Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	1668 ms		Content: Europe eve 792437 56
     [java] Duration:	2 ms		Content: Europe eve 652286 31
     [java] Duration:	3 ms		Content: Europe alice 489139 31
     [java] Duration:	2 ms		Content: Europe carol 880834 55
     [java] Duration:	2 ms		Content: Europe carol 532179 44
     [java] Duration:	2 ms		Content: Europe gary 845450 58
     [java] Duration:	2 ms		Content: Europe gary 338650 32
     [java] Duration:	2 ms		Content: Europe eve 828969 56
     [java] Duration:	2 ms		Content: Europe gary 14815 54
     [java] Duration:	2 ms		Content: Europe gary 481767 41
     [java] Duration:	2 ms		Content: Europe carol 914255 46
     [java] Duration:	2 ms		Content: Europe carol 210655 52
     [java] Duration:	2 ms		Content: Europe carol 729698 38
     [java] Duration:	2 ms		Content: Europe carol 262064 49
     [java] Duration:	2 ms		Content: Europe gary 704206 47
     [java] Duration:	2 ms		Content: Europe alice 837511 35
     [java] Duration:	2 ms		Content: Europe alice 123587 51
     [java] Duration:	2 ms		Content: Europe eve 672568 32
     [java] Duration:	2 ms		Content: Europe eve 119448 52
     [java] Duration:	5 ms		Content: Europe carol 100384 56
     [java] Duration:	2 ms		Content: Europe gary 357734 58
     [java] Duration:	2 ms		Content: Europe eve 884173 33
     [java] Duration:	2 ms		Content: Europe gary 618999 48
     [java] Duration:	2 ms		Content: Europe carol 411957 45
     [java] Duration:	2 ms		Content: Europe carol 83330 34
     [java] Duration:	5 ms		Content: Europe carol 490893 48
     [java] Duration:	3 ms		Content: Europe eve 209226 45
     [java] Duration:	3 ms		Content: Europe gary 278134 39
     [java] Duration:	27 ms		Content: Europe gary 977848 42
     [java] Duration:	25 ms		Content: Europe gary 901313 30
     [java] Duration:	3 ms		Content: Europe eve 143868 51
     [java] Duration:	2 ms		Content: Europe eve 765880 47
     [java] Duration:	2 ms		Content: Europe eve 114158 36
     [java] Duration:	2 ms		Content: Europe gary 138564 38
     [java] Duration:	2 ms		Content: Europe carol 145556 32
     [java] Duration:	3 ms		Content: Europe alice 532698 38
     [java] Duration:	3 ms		Content: Europe eve 262403 51
     [java] Duration:	2 ms		Content: Europe eve 13873 53
     [java] Duration:	2 ms		Content: Europe gary 208174 50
     [java] Duration:	2 ms		Content: Europe gary 159616 55
     [java] Duration:	3 ms		Content: Europe alice 216960 38
     [java] Duration:	3 ms		Content: Europe carol 329025 38
     [java] Duration:	3 ms		Content: Europe eve 808415 44
     [java] Duration:	2 ms		Content: Europe alice 184004 53
     [java] Duration:	2 ms		Content: Europe eve 306952 54
     [java] Duration:	2 ms		Content: Europe gary 752953 58
     [java] Duration:	2 ms		Content: Europe eve 945498 41
     [java] Duration:	2 ms		Content: Europe gary 714950 56
     [java] Duration:	2 ms		Content: Europe carol 862802 39
     [java] Duration:	2 ms		Content: Europe carol 936877 52
     [java] Duration:	3 ms		Content: Europe carol 217764 36
     [java] Duration:	2 ms		Content: Europe carol 133319 36
     [java] Duration:	2 ms		Content: Europe eve 764813 55
     [java] Duration:	7 ms		Content: Europe alice 206278 47
     [java] Duration:	2 ms		Content: Europe gary 451870 49
     [java] Duration:	2 ms		Content: Europe gary 68038 55
     [java] Duration:	2 ms		Content: Europe eve 136884 49
     [java] Duration:	3 ms		Content: Europe gary 440837 49
     [java] Duration:	2 ms		Content: Europe alice 910893 47
     [java] Duration:	5 ms		Content: Europe carol 631237 33
     [java] Duration:	2 ms		Content: Europe gary 776393 51
     [java] Duration:	3 ms		Content: Europe eve 719872 36
     [java] Duration:	3 ms		Content: Europe alice 418703 30
     [java] Duration:	2 ms		Content: Europe gary 591042 45
     [java] Duration:	2 ms		Content: Europe carol 564272 52
     [java] Duration:	2 ms		Content: Europe carol 289513 36
     [java] Duration:	2 ms		Content: Europe carol 1044262 35
     [java] Duration:	2 ms		Content: Europe carol 395280 40
     [java] Duration:	2 ms		Content: Europe eve 763710 50
     [java] Duration:	3 ms		Content: Europe alice 611346 31
     [java] Duration:	2 ms		Content: Europe eve 603688 49
     [java] Duration:	2 ms		Content: Europe alice 584476 55
     [java] Duration:	2 ms		Content: Europe eve 552169 49
     [java] Duration:	2 ms		Content: Europe carol 642054 37
     [java] Duration:	2 ms		Content: Europe alice 169691 43
     [java] Duration:	2 ms		Content: Europe alice 621022 34
     [java] Duration:	28 ms		Content: Europe eve 1022928 30
     [java] Duration:	2 ms		Content: Europe eve 315077 40
     [java] Duration:	2 ms		Content: Europe gary 660684 30
     [java] Duration:	2 ms		Content: Europe gary 451322 57
     [java] Duration:	2 ms		Content: Europe gary 905770 30
     [java] Duration:	2 ms		Content: Europe gary 134767 38
     [java] Duration:	2 ms		Content: Europe gary 668666 51
     [java] Duration:	2 ms		Content: Europe carol 760942 42
     [java] Duration:	2 ms		Content: Europe carol 925958 47
     [java] Duration:	2 ms		Content: Europe eve 955197 47
     [java] Duration:	2 ms		Content: Europe gary 673743 35
     [java] Duration:	3 ms		Content: Europe alice 266437 36
     [java] Duration:	2 ms		Content: Europe carol 690955 38
     [java] Duration:	3 ms		Content: Europe gary 611290 59
     [java] Duration:	2 ms		Content: Europe eve 579282 54
     [java] Duration:	2 ms		Content: Europe alice 414013 41
     [java] Duration:	5 ms		Content: Europe eve 998990 33
     [java] Duration:	2 ms		Content: Europe carol 261701 46
     [java] Duration:	2 ms		Content: Europe eve 445393 39
     [java] Duration:	2 ms		Content: Europe alice 405994 33
     [java] Duration:	2 ms		Content: Europe eve 639504 54
     [java] Duration:	2 ms		Content: Europe eve 633617 41
     [java] Duration:	2 ms		Content: Europe carol 589008 34
     [java] Duration:	2 ms		Content: Europe gary 1001647 44
     [java] Duration:	2 ms		Content: Europe carol 181289 55
     [java] Duration:	2 ms		Content: Europe alice 150398 46
     [java] Duration:	2 ms		Content: Europe eve 232290 50
     [java] Duration:	2 ms		Content: Europe eve 346689 52
     [java] Duration:	2 ms		Content: Europe eve 160405 34
     [java] Duration:	2 ms		Content: Europe carol 930298 55
     [java] Duration:	2 ms		Content: Europe carol 261426 36
     [java] Duration:	2 ms		Content: Europe carol 259458 41
     [java] Duration:	2 ms		Content: Europe eve 978963 41
     [java] Duration:	2 ms		Content: Europe gary 770266 50
     [java] Duration:	2 ms		Content: Europe eve 105014 30
     [java] Duration:	2 ms		Content: Europe alice 1026414 37
     [java] Duration:	2 ms		Content: Europe alice 51955 34
     [java] Duration:	2 ms		Content: Europe alice 227228 51
     [java] Duration:	2 ms		Content: Europe eve 742596 34
     [java] Duration:	2 ms		Content: Europe carol 338042 59
     [java] Duration:	2 ms		Content: Europe eve 32544 37
     [java] Duration:	3 ms		Content: Europe alice 551108 35
     [java] Duration:	2 ms		Content: Europe gary 307684 45
     [java] Duration:	2 ms		Content: Europe carol 848293 47
     [java] Duration:	3 ms		Content: Europe gary 248894 50
     [java] Duration:	2 ms		Content: Europe carol 1014907 58
     [java] Duration:	2 ms		Content: Europe alice 723593 41
     [java] Duration:	3 ms		Content: Europe carol 573339 47
     [java] Duration:	9 ms		Content: Europe alice 760330 33
     [java] Duration:	3 ms		Content: Europe eve 813893 55
     [java] Duration:	2 ms		Content: Europe eve 984050 52
     [java] Duration:	4 ms		Content: Europe alice 568630 45
     [java] Duration:	27 ms		Content: Europe alice 564336 56
     [java] Duration:	3 ms		Content: Europe carol 816046 30
     [java] Duration:	2 ms		Content: Europe gary 391987 30
     [java] Duration:	3 ms		Content: Europe gary 161872 46
     [java] Duration:	2 ms		Content: Europe eve 195000 49
     [java] Duration:	2 ms		Content: Europe eve 236194 37
     [java] Duration:	2 ms		Content: Europe carol 51503 39
     [java] Duration:	25 ms		Content: Europe carol 418860 49
     [java] Duration:	3 ms		Content: Europe carol 46061 43
     [java] Duration:	2 ms		Content: Europe carol 1026828 54
     [java] Duration:	2 ms		Content: Europe gary 191818 51
     [java] Duration:	2 ms		Content: Europe alice 71660 35
     [java] Duration:	2 ms		Content: Europe gary 5881 30
     [java] Duration:	2 ms		Content: Europe gary 838581 44
     [java] Duration:	2 ms		Content: Europe carol 182813 47
     [java] Duration:	24 ms		Content: Europe carol 264058 36
     [java] Duration:	2 ms		Content: Europe gary 738112 48
     [java] Duration:	3 ms		Content: Europe alice 115924 59
     [java] Duration:	2 ms		Content: Europe gary 189398 31
     [java] Duration:	2 ms		Content: Europe carol 704976 32
     [java] Duration:	2 ms		Content: Europe gary 797807 42
     [java] Duration:	5 ms		Content: Europe alice 5754 58
     [java] Duration:	3 ms		Content: Europe alice 28768 38
     [java] Duration:	2 ms		Content: Europe gary 781062 33
     [java] Duration:	3 ms		Content: Europe alice 844259 42
     [java] Duration:	2 ms		Content: Europe carol 438574 57
     [java] Duration:	2 ms		Content: Europe gary 407941 46
     [java] Duration:	2 ms		Content: Europe gary 161456 37
     [java] Duration:	2 ms		Content: Europe eve 935293 55
     [java] Duration:	2 ms		Content: Europe eve 73498 53
     [java] Duration:	2 ms		Content: Europe carol 443649 42
     [java] Duration:	2 ms		Content: Europe carol 879597 56
     [java] Duration:	2 ms		Content: Europe gary 707336 42
     [java] Duration:	2 ms		Content: Europe carol 694756 40
     [java] Duration:	2 ms		Content: Europe carol 958994 33
     [java] Duration:	7 ms		Content: Europe eve 89146 41
     [java] Duration:	3 ms		Content: Europe alice 428309 34
     [java] Duration:	2 ms		Content: Europe eve 658408 34
     [java] Duration:	2 ms		Content: Europe eve 136058 52
     [java] Duration:	3 ms		Content: Europe alice 181363 44
     [java] Duration:	2 ms		Content: Europe carol 41260 49
     [java] Duration:	3 ms		Content: Europe eve 865970 47
     [java] Duration:	2 ms		Content: Europe gary 17373 58
     [java] Duration:	3 ms		Content: Europe alice 37021 32
     [java] Duration:	2 ms		Content: Europe carol 156496 56
     [java] Duration:	2 ms		Content: Europe carol 839846 44
     [java] Duration:	2 ms		Content: Europe gary 769366 55
     [java] Duration:	2 ms		Content: Europe alice 226030 38
     [java] Duration:	2 ms		Content: Europe carol 58727 31
     [java] Duration:	2 ms		Content: Europe eve 443542 38
     [java] Duration:	5 ms		Content: Europe eve 241556 48
     [java] Duration:	2 ms		Content: Europe eve 258355 46
     [java] Duration:	3 ms		Content: Europe gary 533674 53
     [java] Duration:	2 ms		Content: Europe gary 981868 31
     [java] Duration:	4 ms		Content: Europe carol 335439 32
     [java] Duration:	2 ms		Content: Europe eve 326928 46
     [java] Duration:	2 ms		Content: Europe carol 66382 50
     [java] Duration:	3 ms		Content: Europe alice 73329 45
     [java] Duration:	2 ms		Content: Europe eve 364480 45
     [java] Duration:	2 ms		Content: Europe eve 745414 45
     [java] Duration:	3 ms		Content: Europe alice 729538 51
     [java] Duration:	2 ms		Content: Europe eve 13218 48
     [java] Duration:	3 ms		Content: Europe alice 734416 32
     [java] Duration:	2 ms		Content: Europe eve 507131 56
     [java] Duration:	2 ms		Content: Europe eve 656967 34
     [java] Duration:	2 ms		Content: Europe carol 801124 50
     [java] Duration:	3 ms		Content: Europe alice 491049 33
     [java] Duration:	2 ms		Content: Europe gary 439747 50
     [java] Duration:	2 ms		Content: Europe eve 742013 43
     [java] Duration:	2 ms		Content: Europe alice 859991 51
     [java] Duration:	2 ms		Content: Europe gary 71336 59
     [java] Duration:	2 ms		Content: Europe carol 182635 54
     [java] Duration:	2 ms		Content: Europe gary 442681 52
     [java] Duration:	3 ms		Content: Europe alice 1018698 35
     [java] Duration:	2 ms		Content: Europe gary 491741 36
     [java] Duration:	2 ms		Content: Europe carol 47294 41
     [java] Duration:	2 ms		Content: Europe eve 320375 48
     [java] Duration:	26 ms		Content: Europe alice 485232 33
     [java] Duration:	2 ms		Content: Europe gary 331238 38
     [java] Duration:	2 ms		Content: Europe carol 61032 39
     [java] Duration:	2 ms		Content: Europe gary 1009001 51
     [java] Duration:	2 ms		Content: Europe gary 107937 32
     [java] Duration:	2 ms		Content: Europe gary 83151 40
     [java] Duration:	3 ms		Content: Europe alice 984994 38
     [java] Duration:	2 ms		Content: Europe alice 336011 47
     [java] Duration:	2 ms		Content: Europe alice 530163 55
     [java] Duration:	2 ms		Content: Europe carol 888233 58
     [java] Duration:	2 ms		Content: Europe gary 593878 49
     [java] Duration:	2 ms		Content: Europe gary 80244 47
     [java] Duration:	2 ms		Content: Europe eve 299866 46
     [java] Duration:	2 ms		Content: Europe carol 344025 46
     [java] Duration:	2 ms		Content: Europe eve 7164 40
     [java] Duration:	2 ms		Content: Europe alice 693101 56
     [java] Duration:	2 ms		Content: Europe gary 234974 49
     [java] Duration:	2 ms		Content: Europe alice 525011 46
     [java] Duration:	2 ms		Content: Europe gary 930636 54
     [java] Duration:	2 ms		Content: Europe eve 480566 32
     [java] Duration:	2 ms		Content: Europe gary 543700 52
     [java] Duration:	2 ms		Content: Europe alice 423955 51
     [java] Duration:	2 ms		Content: Europe gary 859823 48
     [java] Duration:	2 ms		Content: Europe alice 402719 34
     [java] Duration:	2 ms		Content: Europe alice 918512 53
     [java] Duration:	2 ms		Content: Europe carol 252025 41
     [java] Duration:	2 ms		Content: Europe eve 971390 59
     [java] Duration:	40 ms		Content: Europe gary 457613 46
     [java] Duration:	2 ms		Content: Europe carol 315770 55
     [java] Duration:	2 ms		Content: Europe carol 1032781 40
     [java] Duration:	2 ms		Content: Europe gary 226172 55
     [java] Duration:	2 ms		Content: Europe carol 165172 55
     [java] Duration:	2 ms		Content: Europe eve 768940 49
     [java] Duration:	2 ms		Content: Europe alice 515046 42
     [java] Duration:	2 ms		Content: Europe eve 1047481 49
     [java] Duration:	24 ms		Content: Europe alice 483020 38
     [java] Duration:	3 ms		Content: Europe alice 742996 35
     [java] Duration:	2 ms		Content: Europe eve 843171 41
     [java] Duration:	2 ms		Content: Europe alice 623292 50
     [java] Duration:	2 ms		Content: Europe eve 396720 43
     [java] Duration:	2 ms		Content: Europe gary 805393 46
     [java] Duration:	2 ms		Content: Europe carol 491562 35
     [java] Duration:	2 ms		Content: Europe carol 993718 39
     [java] Duration:	26 ms		Content: Europe gary 610504 43
     [java] Duration:	2 ms		Content: Europe alice 591095 33
     [java] Duration:	2 ms		Content: Europe carol 714228 39
     [java] Duration:	3 ms		Content: Europe gary 224422 46
     [java] Duration:	2 ms		Content: Europe gary 118385 34
     [java] Duration:	2 ms		Content: Europe carol 404311 46
     [java] Duration:	2 ms		Content: Europe gary 546046 50
     [java] Duration:	2 ms		Content: Europe eve 892974 52
     [java] Duration:	25 ms		Content: Europe alice 496465 38
     [java] Duration:	2 ms		Content: Europe alice 970790 55
     [java] Duration:	2 ms		Content: Europe alice 404264 52
     [java] Duration:	2 ms		Content: Europe eve 980366 46
     [java] Duration:	2 ms		Content: Europe eve 941822 46
     [java] Duration:	3 ms		Content: Europe gary 467219 44
     [java] Duration:	3 ms		Content: Europe gary 415970 31
     [java] Duration:	3 ms		Content: Europe carol 622227 49
     [java] Duration:	3 ms		Content: Europe carol 274958 46
     [java] Duration:	2 ms		Content: Europe carol 520081 48
     [java] Duration:	2 ms		Content: Europe carol 626472 36
     [java] Duration:	2 ms		Content: Europe eve 138861 53
     [java] Duration:	2 ms		Content: Europe carol 297370 38
     [java] Duration:	2 ms		Content: Europe gary 1047078 42
     [java] Duration:	2 ms		Content: Europe eve 500318 44
     [java] Duration:	2 ms		Content: Europe eve 237127 34
     [java] Duration:	3 ms		Content: Europe alice 688766 32
     [java] Duration:	39 ms		Content: Europe gary 816144 32
     [java] Duration:	2 ms		Content: Europe eve 860251 41
     [java] Duration:	2 ms		Content: Europe gary 885023 39
     [java] Duration:	2 ms		Content: Europe eve 841336 40
     [java] Duration:	2 ms		Content: Europe eve 731352 56
     [java] Duration:	3 ms		Content: Europe alice 340028 53
     [java] Duration:	2 ms		Content: Europe eve 374200 58
     [java] Duration:	3 ms		Content: Europe alice 531228 38
     [java] Duration:	24 ms		Content: Europe gary 958897 37
     [java] Duration:	2 ms		Content: Europe carol 440984 34
     [java] Duration:	2 ms		Content: Europe carol 699314 42
     [java] Duration:	2 ms		Content: Europe alice 881145 52
     [java] Duration:	4 ms		Content: Europe gary 755573 47
     [java] Duration:	2 ms		Content: Europe gary 492711 45
     [java] Duration:	2 ms		Content: Europe eve 662964 33
     [java] Duration:	2 ms		Content: Europe carol 83567 30
     [java] Duration:	2 ms		Content: Europe alice 33278 34
     [java] Duration:	2 ms		Content: Europe gary 3166 52
     [java] Duration:	2 ms		Content: Europe alice 481826 52
     [java] Duration:	2 ms		Content: Europe carol 646353 35
     [java] Duration:	2 ms		Content: Europe gary 274393 34
     [java] Duration:	2 ms		Content: Europe eve 131830 56
     [java] Duration:	2 ms		Content: Europe eve 916075 49
     [java] Duration:	2 ms		Content: Europe gary 994035 46
     [java] Duration:	2 ms		Content: Europe eve 746726 40
     [java] Duration:	2 ms		Content: Europe alice 94782 50
     [java] Duration:	2 ms		Content: Europe alice 561643 54
     [java] Duration:	2 ms		Content: Europe gary 215271 50
     [java] Duration:	2 ms		Content: Europe alice 216640 35
     [java] Duration:	2 ms		Content: Europe gary 515112 37
     [java] Duration:	2 ms		Content: Europe carol 486760 47
     [java] Duration:	2 ms		Content: Europe alice 464052 57
     [java] Duration:	2 ms		Content: Europe eve 838293 58
     [java] Duration:	2 ms		Content: Europe alice 568912 58
     [java] Duration:	2 ms		Content: Europe gary 804550 40
     [java] Duration:	2 ms		Content: Europe carol 227815 43
     [java] Duration:	2 ms		Content: Europe eve 547782 59
     [java] Duration:	2 ms		Content: Europe alice 567761 32
     [java] Duration:	2 ms		Content: Europe carol 252396 45
     [java] Duration:	2 ms		Content: Europe gary 196996 36
     [java] Duration:	2 ms		Content: Europe eve 226469 36
     [java] Duration:	2 ms		Content: Europe gary 365974 48
     [java] Duration:	2 ms		Content: Europe carol 873472 53
     [java] Duration:	3 ms		Content: Europe alice 422990 33
     [java] Duration:	3 ms		Content: Europe gary 143593 47
     [java] Duration:	2 ms		Content: Europe carol 633699 44
     [java] Duration:	2 ms		Content: Europe eve 403728 30
     [java] Duration:	3 ms		Content: Europe gary 246941 38
     [java] Duration:	2 ms		Content: Europe gary 794897 59
     [java] Duration:	5 ms		Content: Europe carol 352552 59
     [java] Duration:	2 ms		Content: Europe alice 801209 33
     [java] Duration:	3 ms		Content: Europe gary 80352 59
     [java] Duration:	2 ms		Content: Europe alice 713850 47
     [java] Duration:	2 ms		Content: Europe eve 716221 31
     [java] Duration:	2 ms		Content: Europe alice 679681 59
     [java] Duration:	2 ms		Content: Europe alice 838306 35
     [java] Duration:	2 ms		Content: Europe eve 1029434 34
     [java] Duration:	2 ms		Content: Europe gary 1008917 45
     [java] Duration:	2 ms		Content: Europe carol 995702 32
     [java] Duration:	2 ms		Content: Europe alice 869989 46
     [java] Duration:	3 ms		Content: Europe eve 421709 48
     [java] Duration:	2 ms		Content: Europe alice 358609 33
     [java] Duration:	2 ms		Content: Europe carol 702147 40
     [java] Duration:	2 ms		Content: Europe gary 572107 53
     [java] Duration:	2 ms		Content: Europe eve 287586 42
     [java] Duration:	2 ms		Content: Europe carol 754375 38
     [java] Duration:	2 ms		Content: Europe gary 905578 40
     [java] Duration:	2 ms		Content: Europe carol 619397 47
     [java] Duration:	10 ms		Content: Europe eve 889122 58
     [java] Duration:	2 ms		Content: Europe carol 62273 53
     [java] Duration:	6 ms		Content: Europe gary 187855 50
     [java] Duration:	2 ms		Content: Europe eve 845359 53
     [java] Duration:	2 ms		Content: Europe eve 39179 57
     [java] Duration:	2 ms		Content: Europe carol 770272 55
     [java] Duration:	2 ms		Content: Europe carol 1022409 38
     [java] Duration:	2 ms		Content: Europe gary 614066 42
     [java] Duration:	2 ms		Content: Europe alice 554757 54
     [java] Duration:	26 ms		Content: Europe gary 262123 30
     [java] Duration:	3 ms		Content: Europe carol 511223 47
     [java] Duration:	2 ms		Content: Europe gary 1026558 42
     [java] Duration:	2 ms		Content: Europe eve 608387 43
     [java] Duration:	2 ms		Content: Europe gary 984661 50
     [java] Duration:	2 ms		Content: Europe gary 617359 37
     [java] Duration:	3 ms		Content: Europe alice 286696 55
     [java] Duration:	2 ms		Content: Europe gary 796585 56
     [java] Duration:	2 ms		Content: Europe carol 716061 46
     [java] Duration:	2 ms		Content: Europe carol 925674 55
     [java] Duration:	2 ms		Content: Europe gary 761231 51
     [java] Duration:	2 ms		Content: Europe gary 877586 44
     [java] Duration:	2 ms		Content: Europe gary 723653 49
     [java] Duration:	2 ms		Content: Europe eve 789527 32
     [java] Duration:	2 ms		Content: Europe carol 824391 37
     [java] Duration:	3 ms		Content: Europe gary 179704 31
     [java] Duration:	2 ms		Content: Europe carol 794995 48
     [java] Duration:	2 ms		Content: Europe eve 372916 57
     [java] Duration:	2 ms		Content: Europe gary 432422 36
     [java] Duration:	2 ms		Content: Europe eve 402713 59
     [java] Duration:	2 ms		Content: Europe alice 991699 49
     [java] Duration:	2 ms		Content: Europe eve 883940 54
     [java] Duration:	3 ms		Content: Europe eve 881468 41
     [java] Duration:	2 ms		Content: Europe eve 65122 41
     [java] Duration:	2 ms		Content: Europe gary 67123 39
     [java] Duration:	2 ms		Content: Europe eve 499880 50
     [java] Duration:	2 ms		Content: Europe eve 546383 49
     [java] Duration:	2 ms		Content: Europe alice 458132 41
     [java] Duration:	2 ms		Content: Europe eve 39791 49
     [java] Duration:	4 ms		Content: Europe alice 4860 32
     [java] Duration:	6 ms		Content: Europe alice 514370 56
     [java] Duration:	2 ms		Content: Europe carol 775969 50
     [java] Duration:	2 ms		Content: Europe eve 852729 49
     [java] Duration:	2 ms		Content: Europe gary 252931 40
     [java] Duration:	3 ms		Content: Europe alice 564910 40
     [java] Duration:	2 ms		Content: Europe eve 579146 35
     [java] Duration:	2 ms		Content: Europe eve 788211 40
     [java] Duration:	2 ms		Content: Europe carol 318768 44
     [java] Duration:	2 ms		Content: Europe carol 485114 43
     [java] Duration:	6 ms		Content: Europe carol 385013 31
     [java] Duration:	2 ms		Content: Europe carol 160432 34
     [java] Duration:	2 ms		Content: Europe gary 297397 49
     [java] Duration:	2 ms		Content: Europe eve 45598 34
     [java] Duration:	3 ms		Content: Europe eve 688159 31
     [java] Duration:	3 ms		Content: Europe carol 834271 51
     [java] Duration:	2 ms		Content: Europe eve 199866 49
     [java] Duration:	2 ms		Content: Europe gary 165773 51
     [java] Duration:	2 ms		Content: Europe gary 520606 50
     [java] Duration:	2 ms		Content: Europe carol 1002911 42
     [java] Duration:	2 ms		Content: Europe alice 48295 53
     [java] Duration:	2 ms		Content: Europe gary 442639 31
     [java] Duration:	2 ms		Content: Europe carol 787162 49
     [java] Duration:	2 ms		Content: Europe gary 890674 59
     [java] Duration:	2 ms		Content: Europe carol 767881 40
     [java] Duration:	2 ms		Content: Europe alice 746810 51
     [java] Duration:	2 ms		Content: Europe carol 553352 54
     [java] Duration:	2 ms		Content: Europe gary 563314 36
     [java] Duration:	2 ms		Content: Europe gary 270311 58
     [java] Duration:	2 ms		Content: Europe carol 855027 54
     [java] Duration:	4 ms		Content: Europe alice 243654 34
     [java] Duration:	2 ms		Content: Europe gary 199714 43
     [java] Duration:	3 ms		Content: Europe alice 28572 39
     [java] Duration:	3 ms		Content: Europe carol 820954 30
     [java] Duration:	3 ms		Content: Europe alice 717305 52
     [java] Duration:	3 ms		Content: Europe carol 818214 35
     [java] Duration:	2 ms		Content: Europe carol 473869 42
     [java] Duration:	2 ms		Content: Europe eve 552095 40
     [java] Duration:	2 ms		Content: Europe carol 189065 49
     [java] Duration:	3 ms		Content: Europe gary 459563 45
     [java] Duration:	3 ms		Content: Europe gary 249556 44
     [java] Duration:	2 ms		Content: Europe eve 1033560 47
     [java] Duration:	2 ms		Content: Europe carol 871211 52
     [java] Duration:	2 ms		Content: Europe alice 474797 49
     [java] Duration:	2 ms		Content: Europe eve 217165 55
     [java] Duration:	2 ms		Content: Europe carol 246403 44
     [java] Duration:	2 ms		Content: Europe alice 245401 46
     [java] Duration:	2 ms		Content: Europe carol 220232 57
     [java] Duration:	2 ms		Content: Europe carol 866964 51
     [java] Duration:	2 ms		Content: Europe alice 113635 47
     [java] Duration:	2 ms		Content: Europe gary 546225 54
     [java] Duration:	2 ms		Content: Europe carol 993329 43
     [java] Duration:	2 ms		Content: Europe carol 375165 47
     [java] Duration:	2 ms		Content: Europe eve 978586 55
     [java] Duration:	2 ms		Content: Europe gary 834471 34
     [java] Duration:	2 ms		Content: Europe carol 476466 31
     [java] Duration:	10 ms		Content: Europe eve 837261 57
     [java] Duration:	2 ms		Content: Europe gary 444879 48
     [java] Duration:	2 ms		Content: Europe gary 62082 48
     [java] Duration:	3 ms		Content: Europe carol 439509 44
