Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	402 ms		Content: America fred 66061 50
     [java] Duration:	2 ms		Content: America fred 249654 49
     [java] Duration:	2 ms		Content: America dave 864100 35
     [java] Duration:	4 ms		Content: America dave 858557 46
     [java] Duration:	2 ms		Content: America bob 44834 38
     [java] Duration:	2 ms		Content: America fred 752073 30
     [java] Duration:	4 ms		Content: America harry 975540 30
     [java] Duration:	3 ms		Content: America harry 750136 37
     [java] Duration:	2 ms		Content: America harry 494102 43
     [java] Duration:	2 ms		Content: America bob 149139 33
     [java] Duration:	2 ms		Content: America bob 160937 39
     [java] Duration:	4 ms		Content: America harry 195900 33
     [java] Duration:	3 ms		Content: America harry 71217 45
     [java] Duration:	4 ms		Content: America dave 188427 42
     [java] Duration:	3 ms		Content: America harry 609668 45
     [java] Duration:	2 ms		Content: America bob 469525 50
     [java] Duration:	2 ms		Content: America harry 569524 58
     [java] Duration:	2 ms		Content: America dave 392721 31
     [java] Duration:	4 ms		Content: America harry 823055 54
     [java] Duration:	3 ms		Content: America dave 726048 59
     [java] Duration:	2 ms		Content: America harry 55556 31
     [java] Duration:	2 ms		Content: America fred 11222 47
     [java] Duration:	2 ms		Content: America harry 977616 34
     [java] Duration:	11 ms		Content: America bob 900786 55
     [java] Duration:	2 ms		Content: America fred 594707 59
     [java] Duration:	3 ms		Content: America bob 659194 55
     [java] Duration:	2 ms		Content: America fred 880719 43
     [java] Duration:	2 ms		Content: America fred 108765 44
     [java] Duration:	2 ms		Content: America bob 391163 59
     [java] Duration:	2 ms		Content: America dave 796456 42
     [java] Duration:	32 ms		Content: America fred 875018 48
     [java] Duration:	4 ms		Content: America harry 326553 54
     [java] Duration:	2 ms		Content: America fred 623690 56
     [java] Duration:	3 ms		Content: America dave 854444 46
     [java] Duration:	3 ms		Content: America harry 178659 57
     [java] Duration:	2 ms		Content: America dave 417929 46
     [java] Duration:	2 ms		Content: America fred 285869 46
     [java] Duration:	2 ms		Content: America fred 633901 31
     [java] Duration:	2 ms		Content: America dave 1042095 56
     [java] Duration:	3 ms		Content: America harry 901278 42
     [java] Duration:	3 ms		Content: America dave 416604 33
     [java] Duration:	2 ms		Content: America fred 989550 36
     [java] Duration:	2 ms		Content: America fred 718899 34
     [java] Duration:	2 ms		Content: America bob 971991 33
     [java] Duration:	3 ms		Content: America fred 943910 44
     [java] Duration:	2 ms		Content: America bob 679470 35
     [java] Duration:	2 ms		Content: America fred 883002 48
     [java] Duration:	2 ms		Content: America harry 27686 31
     [java] Duration:	2 ms		Content: America harry 998483 41
     [java] Duration:	2 ms		Content: America bob 708461 38
     [java] Duration:	2 ms		Content: America fred 230563 45
     [java] Duration:	3 ms		Content: America fred 598996 55
     [java] Duration:	2 ms		Content: America fred 725881 38
     [java] Duration:	3 ms		Content: America fred 651802 44
     [java] Duration:	3 ms		Content: America fred 17943 53
     [java] Duration:	2 ms		Content: America bob 1007636 59
     [java] Duration:	2 ms		Content: America harry 284500 49
     [java] Duration:	2 ms		Content: America fred 457422 32
     [java] Duration:	2 ms		Content: America bob 824777 32
     [java] Duration:	2 ms		Content: America dave 306250 48
     [java] Duration:	2 ms		Content: America fred 656367 39
     [java] Duration:	2 ms		Content: America dave 493200 58
     [java] Duration:	3 ms		Content: America harry 795644 32
     [java] Duration:	2 ms		Content: America fred 402009 31
     [java] Duration:	2 ms		Content: America harry 900105 50
     [java] Duration:	9 ms		Content: America fred 460707 38
     [java] Duration:	3 ms		Content: America bob 141625 58
     [java] Duration:	7 ms		Content: America harry 369068 57
     [java] Duration:	2 ms		Content: America dave 376901 44
     [java] Duration:	3 ms		Content: America fred 1007426 53
     [java] Duration:	2 ms		Content: America dave 22267 55
     [java] Duration:	4 ms		Content: America harry 1035761 35
     [java] Duration:	2 ms		Content: America fred 664523 54
     [java] Duration:	2 ms		Content: America harry 127670 52
     [java] Duration:	23 ms		Content: America dave 726589 37
     [java] Duration:	2 ms		Content: America bob 398944 50
     [java] Duration:	2 ms		Content: America bob 130641 56
     [java] Duration:	3 ms		Content: America dave 371605 33
     [java] Duration:	2 ms		Content: America bob 197050 56
     [java] Duration:	3 ms		Content: America bob 736565 41
     [java] Duration:	2 ms		Content: America dave 579802 55
     [java] Duration:	2 ms		Content: America dave 390137 47
     [java] Duration:	3 ms		Content: America bob 244959 39
     [java] Duration:	2 ms		Content: America fred 298835 47
     [java] Duration:	2 ms		Content: America fred 445556 56
     [java] Duration:	2 ms		Content: America fred 316516 41
     [java] Duration:	2 ms		Content: America bob 1004077 57
     [java] Duration:	2 ms		Content: America dave 428648 30
     [java] Duration:	3 ms		Content: America fred 402712 37
     [java] Duration:	5 ms		Content: America bob 562574 47
     [java] Duration:	3 ms		Content: America dave 1009836 48
     [java] Duration:	2 ms		Content: America harry 862128 55
     [java] Duration:	2 ms		Content: America dave 129581 48
     [java] Duration:	2 ms		Content: America dave 467129 33
     [java] Duration:	2 ms		Content: America bob 254765 51
     [java] Duration:	2 ms		Content: America bob 407376 49
     [java] Duration:	2 ms		Content: America bob 194202 33
     [java] Duration:	2 ms		Content: America dave 524590 30
     [java] Duration:	2 ms		Content: America harry 172667 37
     [java] Duration:	2 ms		Content: America dave 442267 32
     [java] Duration:	2 ms		Content: America harry 401214 48
     [java] Duration:	2 ms		Content: America harry 808293 50
     [java] Duration:	2 ms		Content: America fred 831569 36
     [java] Duration:	2 ms		Content: America fred 950478 36
     [java] Duration:	2 ms		Content: America harry 994416 42
     [java] Duration:	3 ms		Content: America bob 188905 45
     [java] Duration:	2 ms		Content: America bob 86191 48
     [java] Duration:	2 ms		Content: America bob 632022 54
     [java] Duration:	3 ms		Content: America fred 140725 35
     [java] Duration:	3 ms		Content: America bob 542553 36
     [java] Duration:	10 ms		Content: America harry 744815 51
     [java] Duration:	3 ms		Content: America harry 988994 48
     [java] Duration:	5 ms		Content: America bob 672264 52
     [java] Duration:	3 ms		Content: America harry 543756 44
     [java] Duration:	2 ms		Content: America fred 371014 53
     [java] Duration:	2 ms		Content: America dave 38949 58
     [java] Duration:	2 ms		Content: America harry 343868 46
     [java] Duration:	7 ms		Content: America dave 470165 54
     [java] Duration:	22 ms		Content: America bob 96017 57
     [java] Duration:	2 ms		Content: America bob 174252 48
     [java] Duration:	2 ms		Content: America fred 512904 42
     [java] Duration:	2 ms		Content: America harry 569624 38
     [java] Duration:	2 ms		Content: America fred 40218 44
     [java] Duration:	2 ms		Content: America bob 1625 31
     [java] Duration:	37 ms		Content: America bob 111128 51
     [java] Duration:	2 ms		Content: America fred 510874 53
     [java] Duration:	2 ms		Content: America harry 701781 45
     [java] Duration:	3 ms		Content: America fred 810327 32
     [java] Duration:	3 ms		Content: America dave 833923 44
     [java] Duration:	5 ms		Content: America fred 260513 49
     [java] Duration:	27 ms		Content: America bob 100272 39
     [java] Duration:	2 ms		Content: America harry 638948 48
     [java] Duration:	2 ms		Content: America bob 323119 39
     [java] Duration:	2 ms		Content: America bob 163126 51
     [java] Duration:	3 ms		Content: America bob 601741 47
     [java] Duration:	2 ms		Content: America harry 891914 41
     [java] Duration:	2 ms		Content: America dave 933480 43
     [java] Duration:	25 ms		Content: America harry 1012482 49
     [java] Duration:	22 ms		Content: America harry 103168 58
     [java] Duration:	24 ms		Content: America dave 880072 53
     [java] Duration:	2 ms		Content: America dave 319087 35
     [java] Duration:	2 ms		Content: America dave 936077 47
     [java] Duration:	2 ms		Content: America dave 183034 58
     [java] Duration:	2 ms		Content: America harry 401019 54
     [java] Duration:	2 ms		Content: America dave 996358 55
     [java] Duration:	2 ms		Content: America fred 545459 52
     [java] Duration:	2 ms		Content: America harry 1008257 55
     [java] Duration:	2 ms		Content: America fred 1013465 54
     [java] Duration:	2 ms		Content: America bob 93966 38
     [java] Duration:	2 ms		Content: America dave 210242 58
     [java] Duration:	2 ms		Content: America dave 405266 53
     [java] Duration:	2 ms		Content: America harry 1020676 39
     [java] Duration:	2 ms		Content: America bob 422796 57
     [java] Duration:	2 ms		Content: America bob 861498 55
     [java] Duration:	2 ms		Content: America dave 605429 39
     [java] Duration:	2 ms		Content: America dave 588822 36
     [java] Duration:	2 ms		Content: America fred 902371 42
     [java] Duration:	2 ms		Content: America dave 672663 35
     [java] Duration:	2 ms		Content: America harry 898457 51
     [java] Duration:	2 ms		Content: America harry 834664 52
     [java] Duration:	2 ms		Content: America dave 497252 37
     [java] Duration:	2 ms		Content: America bob 627321 45
     [java] Duration:	2 ms		Content: America fred 462907 31
     [java] Duration:	6 ms		Content: America dave 788243 34
     [java] Duration:	3 ms		Content: America bob 960082 31
     [java] Duration:	3 ms		Content: America harry 20084 33
     [java] Duration:	2 ms		Content: America fred 63243 34
     [java] Duration:	2 ms		Content: America fred 144529 56
     [java] Duration:	23 ms		Content: America bob 96830 39
     [java] Duration:	6 ms		Content: America harry 816472 41
     [java] Duration:	2 ms		Content: America fred 675476 38
     [java] Duration:	2 ms		Content: America fred 981309 48
     [java] Duration:	2 ms		Content: America dave 727580 47
     [java] Duration:	3 ms		Content: America fred 618267 37
     [java] Duration:	2 ms		Content: America dave 573338 59
     [java] Duration:	2 ms		Content: America harry 305947 53
     [java] Duration:	2 ms		Content: America harry 943810 54
     [java] Duration:	3 ms		Content: America bob 546961 31
     [java] Duration:	2 ms		Content: America fred 1034431 44
     [java] Duration:	24 ms		Content: America harry 638701 41
     [java] Duration:	3 ms		Content: America bob 83069 46
     [java] Duration:	3 ms		Content: America fred 937614 46
     [java] Duration:	3 ms		Content: America fred 407860 53
     [java] Duration:	2 ms		Content: America fred 371867 33
     [java] Duration:	2 ms		Content: America bob 487214 48
     [java] Duration:	3 ms		Content: America harry 130702 37
     [java] Duration:	2 ms		Content: America harry 478270 40
     [java] Duration:	2 ms		Content: America dave 408857 55
     [java] Duration:	2 ms		Content: America harry 790251 57
     [java] Duration:	3 ms		Content: America dave 795740 40
     [java] Duration:	2 ms		Content: America harry 291560 46
     [java] Duration:	2 ms		Content: America dave 832380 49
     [java] Duration:	2 ms		Content: America fred 1044052 40
     [java] Duration:	3 ms		Content: America bob 1027639 52
     [java] Duration:	3 ms		Content: America fred 913712 58
     [java] Duration:	2 ms		Content: America harry 779406 30
     [java] Duration:	3 ms		Content: America fred 404199 52
     [java] Duration:	3 ms		Content: America fred 194272 56
     [java] Duration:	3 ms		Content: America harry 742156 49
     [java] Duration:	2 ms		Content: America fred 423751 45
     [java] Duration:	3 ms		Content: America bob 966480 44
     [java] Duration:	2 ms		Content: America bob 430721 50
     [java] Duration:	2 ms		Content: America fred 173855 47
     [java] Duration:	2 ms		Content: America dave 280971 34
     [java] Duration:	3 ms		Content: America fred 820275 49
     [java] Duration:	3 ms		Content: America dave 263337 54
     [java] Duration:	2 ms		Content: America bob 288132 56
     [java] Duration:	2 ms		Content: America fred 533328 49
     [java] Duration:	3 ms		Content: America dave 596309 44
     [java] Duration:	3 ms		Content: America fred 626364 57
     [java] Duration:	2 ms		Content: America harry 570390 46
     [java] Duration:	11 ms		Content: America harry 791208 52
     [java] Duration:	2 ms		Content: America fred 867021 36
     [java] Duration:	2 ms		Content: America harry 791311 38
     [java] Duration:	2 ms		Content: America fred 318347 36
     [java] Duration:	2 ms		Content: America bob 1003910 31
     [java] Duration:	2 ms		Content: America dave 964853 32
     [java] Duration:	2 ms		Content: America harry 949597 41
     [java] Duration:	2 ms		Content: America harry 621938 33
     [java] Duration:	2 ms		Content: America dave 558551 33
     [java] Duration:	24 ms		Content: America bob 49433 50
     [java] Duration:	3 ms		Content: America harry 176574 30
     [java] Duration:	2 ms		Content: America bob 816729 58
     [java] Duration:	2 ms		Content: America dave 678505 37
     [java] Duration:	2 ms		Content: America dave 17731 45
     [java] Duration:	3 ms		Content: America harry 779072 43
     [java] Duration:	3 ms		Content: America dave 398781 42
     [java] Duration:	2 ms		Content: America harry 945782 36
     [java] Duration:	2 ms		Content: America dave 48787 37
     [java] Duration:	2 ms		Content: America fred 546589 40
     [java] Duration:	2 ms		Content: America fred 981522 54
     [java] Duration:	3 ms		Content: America harry 966374 50
     [java] Duration:	23 ms		Content: America fred 1024810 32
     [java] Duration:	2 ms		Content: America harry 636207 40
     [java] Duration:	2 ms		Content: America fred 634625 32
     [java] Duration:	2 ms		Content: America bob 723775 54
     [java] Duration:	3 ms		Content: America harry 777064 45
     [java] Duration:	2 ms		Content: America dave 101747 30
     [java] Duration:	2 ms		Content: America fred 862796 57
     [java] Duration:	3 ms		Content: America fred 337171 36
     [java] Duration:	2 ms		Content: America bob 929118 52
     [java] Duration:	2 ms		Content: America dave 254370 47
     [java] Duration:	2 ms		Content: America dave 13537 53
     [java] Duration:	2 ms		Content: America bob 206589 59
     [java] Duration:	2 ms		Content: America fred 433496 53
     [java] Duration:	2 ms		Content: America harry 343213 41
     [java] Duration:	2 ms		Content: America harry 734623 53
     [java] Duration:	2 ms		Content: America fred 758942 46
     [java] Duration:	2 ms		Content: America dave 953163 54
     [java] Duration:	2 ms		Content: America harry 844923 31
     [java] Duration:	2 ms		Content: America bob 521709 45
     [java] Duration:	2 ms		Content: America bob 1012457 37
     [java] Duration:	3 ms		Content: America fred 579 45
     [java] Duration:	2 ms		Content: America harry 1011868 31
     [java] Duration:	5 ms		Content: America harry 317841 37
     [java] Duration:	2 ms		Content: America fred 1004486 32
     [java] Duration:	2 ms		Content: America dave 992602 53
     [java] Duration:	2 ms		Content: America bob 638655 45
     [java] Duration:	2 ms		Content: America harry 681861 52
     [java] Duration:	2 ms		Content: America dave 1027464 37
     [java] Duration:	2 ms		Content: America dave 821436 30
     [java] Duration:	2 ms		Content: America harry 577423 54
     [java] Duration:	2 ms		Content: America bob 748609 56
     [java] Duration:	2 ms		Content: America harry 522719 31
     [java] Duration:	2 ms		Content: America harry 981225 39
     [java] Duration:	2 ms		Content: America dave 475154 53
     [java] Duration:	2 ms		Content: America fred 963498 38
     [java] Duration:	3 ms		Content: America harry 5366 57
     [java] Duration:	2 ms		Content: America dave 776971 40
     [java] Duration:	2 ms		Content: America bob 346418 32
     [java] Duration:	2 ms		Content: America harry 1006909 48
     [java] Duration:	2 ms		Content: America harry 851985 58
     [java] Duration:	2 ms		Content: America dave 578149 36
     [java] Duration:	3 ms		Content: America fred 697316 30
     [java] Duration:	2 ms		Content: America fred 58402 34
     [java] Duration:	22 ms		Content: America dave 923499 38
     [java] Duration:	2 ms		Content: America bob 283885 33
     [java] Duration:	4 ms		Content: America fred 153985 30
     [java] Duration:	5 ms		Content: America harry 369354 46
     [java] Duration:	2 ms		Content: America bob 413027 58
     [java] Duration:	2 ms		Content: America fred 571354 52
     [java] Duration:	2 ms		Content: America dave 858155 37
     [java] Duration:	5 ms		Content: America fred 139850 37
     [java] Duration:	24 ms		Content: America fred 665834 53
     [java] Duration:	2 ms		Content: America fred 794763 53
     [java] Duration:	2 ms		Content: America harry 430012 44
     [java] Duration:	2 ms		Content: America harry 126235 44
     [java] Duration:	2 ms		Content: America bob 454347 36
     [java] Duration:	6 ms		Content: America bob 299609 34
     [java] Duration:	2 ms		Content: America fred 710535 46
     [java] Duration:	2 ms		Content: America dave 108289 43
     [java] Duration:	3 ms		Content: America dave 334076 40
     [java] Duration:	2 ms		Content: America bob 633584 41
     [java] Duration:	2 ms		Content: America dave 56634 49
     [java] Duration:	3 ms		Content: America fred 23745 49
     [java] Duration:	2 ms		Content: America fred 483388 43
     [java] Duration:	2 ms		Content: America dave 256155 49
     [java] Duration:	2 ms		Content: America dave 201911 58
     [java] Duration:	4 ms		Content: America bob 694776 47
     [java] Duration:	26 ms		Content: America bob 472899 36
     [java] Duration:	2 ms		Content: America bob 832615 30
     [java] Duration:	2 ms		Content: America fred 426997 49
     [java] Duration:	2 ms		Content: America dave 318909 48
     [java] Duration:	3 ms		Content: America fred 163715 55
     [java] Duration:	2 ms		Content: America harry 180540 47
     [java] Duration:	2 ms		Content: America harry 395579 32
     [java] Duration:	2 ms		Content: America fred 82914 55
     [java] Duration:	25 ms		Content: America bob 985562 57
     [java] Duration:	2 ms		Content: America dave 935214 32
     [java] Duration:	2 ms		Content: America harry 151731 31
     [java] Duration:	2 ms		Content: America dave 732311 50
     [java] Duration:	2 ms		Content: America fred 882144 30
     [java] Duration:	2 ms		Content: America harry 624362 33
     [java] Duration:	2 ms		Content: America harry 658684 58
     [java] Duration:	31 ms		Content: America harry 629442 56
     [java] Duration:	2 ms		Content: America dave 281691 48
     [java] Duration:	2 ms		Content: America bob 545473 58
     [java] Duration:	3 ms		Content: America fred 991409 30
     [java] Duration:	2 ms		Content: America harry 61136 35
     [java] Duration:	2 ms		Content: America dave 1022252 41
     [java] Duration:	2 ms		Content: America fred 986360 56
     [java] Duration:	2 ms		Content: America harry 504043 40
     [java] Duration:	2 ms		Content: America dave 152543 34
     [java] Duration:	2 ms		Content: America fred 680549 44
     [java] Duration:	24 ms		Content: America bob 910910 30
     [java] Duration:	2 ms		Content: America bob 165542 37
     [java] Duration:	3 ms		Content: America dave 732185 37
     [java] Duration:	2 ms		Content: America fred 227708 38
     [java] Duration:	2 ms		Content: America harry 169631 54
     [java] Duration:	2 ms		Content: America fred 1010280 33
     [java] Duration:	2 ms		Content: America dave 150167 54
     [java] Duration:	2 ms		Content: America bob 744585 32
     [java] Duration:	2 ms		Content: America bob 661542 51
     [java] Duration:	2 ms		Content: America dave 702214 55
     [java] Duration:	2 ms		Content: America dave 645549 49
     [java] Duration:	2 ms		Content: America fred 394257 45
     [java] Duration:	2 ms		Content: America dave 132955 50
     [java] Duration:	2 ms		Content: America bob 618833 43
     [java] Duration:	3 ms		Content: America fred 667535 46
     [java] Duration:	6 ms		Content: America bob 139904 57
     [java] Duration:	2 ms		Content: America dave 997872 37
     [java] Duration:	2 ms		Content: America bob 309086 34
     [java] Duration:	2 ms		Content: America bob 462116 35
     [java] Duration:	2 ms		Content: America bob 776323 43
     [java] Duration:	3 ms		Content: America fred 272070 44
     [java] Duration:	2 ms		Content: America bob 657066 59
     [java] Duration:	2 ms		Content: America bob 137100 59
     [java] Duration:	2 ms		Content: America harry 477566 55
     [java] Duration:	3 ms		Content: America fred 526781 39
     [java] Duration:	3 ms		Content: America fred 336051 50
     [java] Duration:	2 ms		Content: America dave 249904 38
     [java] Duration:	3 ms		Content: America fred 1024255 31
     [java] Duration:	2 ms		Content: America harry 9801 32
     [java] Duration:	2 ms		Content: America dave 617896 43
     [java] Duration:	2 ms		Content: America dave 107878 30
     [java] Duration:	2 ms		Content: America bob 37265 58
     [java] Duration:	8 ms		Content: America fred 708763 32
     [java] Duration:	2 ms		Content: America bob 432313 37
     [java] Duration:	3 ms		Content: America fred 160406 52
     [java] Duration:	2 ms		Content: America harry 946809 37
     [java] Duration:	2 ms		Content: America harry 678657 43
     [java] Duration:	2 ms		Content: America bob 1013003 58
     [java] Duration:	2 ms		Content: America dave 667232 42
     [java] Duration:	2 ms		Content: America harry 981218 46
     [java] Duration:	2 ms		Content: America dave 118701 58
     [java] Duration:	2 ms		Content: America fred 883143 54
     [java] Duration:	2 ms		Content: America dave 367559 49
     [java] Duration:	2 ms		Content: America dave 60853 48
     [java] Duration:	2 ms		Content: America fred 680514 42
     [java] Duration:	3 ms		Content: America dave 950953 48
     [java] Duration:	5 ms		Content: America dave 285789 44
     [java] Duration:	2 ms		Content: America fred 182205 48
     [java] Duration:	2 ms		Content: America bob 353440 54
     [java] Duration:	2 ms		Content: America dave 1045871 36
     [java] Duration:	2 ms		Content: America bob 803202 37
     [java] Duration:	3 ms		Content: America dave 69124 35
     [java] Duration:	2 ms		Content: America dave 568088 52
     [java] Duration:	2 ms		Content: America dave 108289 56
     [java] Duration:	3 ms		Content: America dave 947518 56
     [java] Duration:	2 ms		Content: America fred 519224 55
     [java] Duration:	2 ms		Content: America bob 184776 32
     [java] Duration:	2 ms		Content: America dave 348552 58
     [java] Duration:	3 ms		Content: America harry 855240 35
     [java] Duration:	2 ms		Content: America harry 345750 46
     [java] Duration:	2 ms		Content: America fred 566037 37
     [java] Duration:	3 ms		Content: America bob 283326 38
     [java] Duration:	2 ms		Content: America bob 365266 41
     [java] Duration:	2 ms		Content: America harry 487529 56
     [java] Duration:	2 ms		Content: America bob 956992 56
     [java] Duration:	2 ms		Content: America bob 373660 59
     [java] Duration:	2 ms		Content: America bob 498339 46
     [java] Duration:	2 ms		Content: America fred 639807 32
     [java] Duration:	2 ms		Content: America bob 624864 48
     [java] Duration:	2 ms		Content: America harry 580615 52
     [java] Duration:	2 ms		Content: America dave 178877 42
     [java] Duration:	3 ms		Content: America fred 313849 53
     [java] Duration:	2 ms		Content: America dave 714363 35
     [java] Duration:	3 ms		Content: America dave 934550 55
     [java] Duration:	2 ms		Content: America bob 1010177 36
     [java] Duration:	3 ms		Content: America harry 546197 42
     [java] Duration:	2 ms		Content: America fred 666332 45
     [java] Duration:	10 ms		Content: America fred 857466 32
     [java] Duration:	2 ms		Content: America fred 321961 50
     [java] Duration:	2 ms		Content: America dave 472571 30
     [java] Duration:	2 ms		Content: America harry 616861 33
     [java] Duration:	2 ms		Content: America bob 735875 30
     [java] Duration:	2 ms		Content: America bob 732178 43
     [java] Duration:	2 ms		Content: America harry 969538 33
     [java] Duration:	2 ms		Content: America fred 760906 57
     [java] Duration:	2 ms		Content: America fred 117943 39
     [java] Duration:	2 ms		Content: America harry 182570 32
     [java] Duration:	7 ms		Content: America bob 542707 56
     [java] Duration:	3 ms		Content: America fred 312308 37
     [java] Duration:	2 ms		Content: America dave 713306 46
     [java] Duration:	2 ms		Content: America harry 233614 36
     [java] Duration:	2 ms		Content: America harry 663142 48
     [java] Duration:	2 ms		Content: America bob 798524 55
     [java] Duration:	2 ms		Content: America fred 727634 40
     [java] Duration:	2 ms		Content: America fred 125876 46
     [java] Duration:	4 ms		Content: America bob 607956 52
     [java] Duration:	2 ms		Content: America harry 484107 59
     [java] Duration:	2 ms		Content: America harry 75673 44
     [java] Duration:	2 ms		Content: America fred 428850 51
     [java] Duration:	2 ms		Content: America harry 730358 52
     [java] Duration:	2 ms		Content: America dave 968138 49
     [java] Duration:	2 ms		Content: America bob 786717 37
     [java] Duration:	2 ms		Content: America harry 396803 59
     [java] Duration:	3 ms		Content: America dave 583404 39
     [java] Duration:	2 ms		Content: America bob 353168 40
     [java] Duration:	2 ms		Content: America harry 784295 55
     [java] Duration:	2 ms		Content: America dave 488425 30
     [java] Duration:	2 ms		Content: America bob 989161 58
     [java] Duration:	5 ms		Content: America bob 708826 44
     [java] Duration:	3 ms		Content: America harry 519825 43
     [java] Duration:	2 ms		Content: America dave 65874 52
     [java] Duration:	3 ms		Content: America fred 680850 32
     [java] Duration:	2 ms		Content: America bob 261528 49
     [java] Duration:	2 ms		Content: America dave 279241 30
     [java] Duration:	4 ms		Content: America bob 83690 51
     [java] Duration:	2 ms		Content: America harry 229153 37
     [java] Duration:	2 ms		Content: America bob 464615 55
     [java] Duration:	2 ms		Content: America fred 541264 58
     [java] Duration:	2 ms		Content: America harry 230850 52
     [java] Duration:	2 ms		Content: America dave 388987 48
     [java] Duration:	2 ms		Content: America fred 231298 39
     [java] Duration:	2 ms		Content: America fred 452769 59
     [java] Duration:	2 ms		Content: America harry 437826 49
     [java] Duration:	2 ms		Content: America dave 115424 42
     [java] Duration:	2 ms		Content: America harry 303386 57
     [java] Duration:	2 ms		Content: America fred 202383 39
     [java] Duration:	2 ms		Content: America fred 557141 32
     [java] Duration:	3 ms		Content: America bob 59024 35
     [java] Duration:	2 ms		Content: America harry 73692 47
     [java] Duration:	2 ms		Content: America fred 238076 39
     [java] Duration:	2 ms		Content: America harry 746004 44
     [java] Duration:	2 ms		Content: America bob 710586 49
     [java] Duration:	2 ms		Content: America harry 1044766 59
     [java] Duration:	2 ms		Content: America bob 726859 53
     [java] Duration:	2 ms		Content: America dave 957401 55
     [java] Duration:	2 ms		Content: America fred 139309 40
     [java] Duration:	3 ms		Content: America harry 692931 44
     [java] Duration:	2 ms		Content: America bob 413672 46
     [java] Duration:	2 ms		Content: America harry 774410 48
     [java] Duration:	5 ms		Content: America bob 994775 50
     [java] Duration:	2 ms		Content: America dave 845334 38
     [java] Duration:	2 ms		Content: America harry 412206 55
     [java] Duration:	2 ms		Content: America bob 34849 48
     [java] Duration:	2 ms		Content: America bob 799907 43
     [java] Duration:	2 ms		Content: America fred 660219 48
     [java] Duration:	2 ms		Content: America dave 584673 39
     [java] Duration:	2 ms		Content: America harry 714290 50
     [java] Duration:	2 ms		Content: America fred 671856 45
     [java] Duration:	2 ms		Content: America harry 883450 50
     [java] Duration:	2 ms		Content: America harry 736511 52
     [java] Duration:	9 ms		Content: America harry 634615 55
     [java] Duration:	4 ms		Content: America dave 818399 34
     [java] Duration:	2 ms		Content: America harry 1041211 42
     [java] Duration:	2 ms		Content: America dave 633083 30
     [java] Duration:	2 ms		Content: America harry 665038 58
     [java] Duration:	2 ms		Content: America fred 775767 34
     [java] Duration:	2 ms		Content: America harry 838878 36
     [java] Duration:	2 ms		Content: America harry 74886 39
     [java] Duration:	6 ms		Content: America bob 285204 52
     [java] Duration:	2 ms		Content: America dave 132889 31
     [java] Duration:	3 ms		Content: America harry 397306 51
     [java] Duration:	2 ms		Content: America fred 109041 46
     [java] Duration:	2 ms		Content: America harry 409182 49
     [java] Duration:	3 ms		Content: America fred 211072 39
     [java] Duration:	2 ms		Content: America bob 957292 31
     [java] Duration:	2 ms		Content: America dave 526767 58
