Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	416 ms		Content: America bob 749220 56
     [java] Duration:	2 ms		Content: America bob 338947 49
     [java] Duration:	3 ms		Content: America fred 475505 52
     [java] Duration:	2 ms		Content: America harry 814250 56
     [java] Duration:	9 ms		Content: America harry 649867 31
     [java] Duration:	3 ms		Content: America fred 622633 39
     [java] Duration:	3 ms		Content: America harry 369725 39
     [java] Duration:	2 ms		Content: America harry 883071 33
     [java] Duration:	3 ms		Content: America harry 342149 32
     [java] Duration:	3 ms		Content: America fred 1005256 54
     [java] Duration:	2 ms		Content: America fred 27892 31
     [java] Duration:	2 ms		Content: America dave 979224 56
     [java] Duration:	2 ms		Content: America dave 864313 47
     [java] Duration:	3 ms		Content: America fred 248773 43
     [java] Duration:	2 ms		Content: America fred 543041 54
     [java] Duration:	25 ms		Content: America fred 734237 40
     [java] Duration:	2 ms		Content: America dave 299507 58
     [java] Duration:	3 ms		Content: America bob 736435 31
     [java] Duration:	2 ms		Content: America harry 431278 40
     [java] Duration:	23 ms		Content: America harry 799857 53
     [java] Duration:	2 ms		Content: America dave 737115 37
     [java] Duration:	23 ms		Content: America bob 726290 52
     [java] Duration:	3 ms		Content: America harry 267445 57
     [java] Duration:	5 ms		Content: America bob 286173 44
     [java] Duration:	3 ms		Content: America fred 674189 33
     [java] Duration:	3 ms		Content: America bob 535470 52
     [java] Duration:	2 ms		Content: America harry 992598 59
     [java] Duration:	2 ms		Content: America bob 172498 33
     [java] Duration:	2 ms		Content: America fred 15953 30
     [java] Duration:	3 ms		Content: America harry 159779 49
     [java] Duration:	2 ms		Content: America bob 452041 58
     [java] Duration:	4 ms		Content: America dave 748168 48
     [java] Duration:	2 ms		Content: America dave 24068 40
     [java] Duration:	2 ms		Content: America harry 563276 40
     [java] Duration:	2 ms		Content: America bob 370865 48
     [java] Duration:	3 ms		Content: America bob 148829 45
     [java] Duration:	2 ms		Content: America fred 169978 43
     [java] Duration:	3 ms		Content: America bob 183489 45
     [java] Duration:	2 ms		Content: America bob 105719 34
     [java] Duration:	3 ms		Content: America dave 1017984 37
     [java] Duration:	3 ms		Content: America dave 749385 34
     [java] Duration:	3 ms		Content: America harry 509340 52
     [java] Duration:	2 ms		Content: America dave 714742 51
     [java] Duration:	5 ms		Content: America harry 637212 41
     [java] Duration:	2 ms		Content: America dave 602554 41
     [java] Duration:	2 ms		Content: America bob 451014 32
     [java] Duration:	2 ms		Content: America dave 627386 35
     [java] Duration:	2 ms		Content: America bob 157902 31
     [java] Duration:	2 ms		Content: America dave 256560 50
     [java] Duration:	2 ms		Content: America bob 444018 33
     [java] Duration:	2 ms		Content: America fred 708378 46
     [java] Duration:	24 ms		Content: America dave 706524 36
     [java] Duration:	2 ms		Content: America bob 369457 41
     [java] Duration:	2 ms		Content: America fred 198438 35
     [java] Duration:	2 ms		Content: America harry 461350 38
     [java] Duration:	2 ms		Content: America bob 862420 40
     [java] Duration:	3 ms		Content: America bob 334144 44
     [java] Duration:	2 ms		Content: America bob 850811 34
     [java] Duration:	2 ms		Content: America fred 234456 41
     [java] Duration:	2 ms		Content: America bob 577088 57
     [java] Duration:	2 ms		Content: America harry 777118 48
     [java] Duration:	2 ms		Content: America bob 639984 53
     [java] Duration:	3 ms		Content: America dave 633891 46
     [java] Duration:	2 ms		Content: America bob 391144 40
     [java] Duration:	8 ms		Content: America dave 376977 54
     [java] Duration:	2 ms		Content: America dave 1037708 45
     [java] Duration:	21 ms		Content: America bob 1021806 59
     [java] Duration:	3 ms		Content: America harry 878217 40
     [java] Duration:	2 ms		Content: America fred 1045677 46
     [java] Duration:	2 ms		Content: America dave 276916 46
     [java] Duration:	2 ms		Content: America fred 52306 43
     [java] Duration:	3 ms		Content: America dave 743253 42
     [java] Duration:	37 ms		Content: America harry 851606 39
     [java] Duration:	2 ms		Content: America dave 968566 39
     [java] Duration:	3 ms		Content: America dave 650700 44
     [java] Duration:	2 ms		Content: America dave 1044320 59
     [java] Duration:	3 ms		Content: America bob 378548 34
     [java] Duration:	4 ms		Content: America bob 359082 43
     [java] Duration:	3 ms		Content: America fred 93266 30
     [java] Duration:	2 ms		Content: America fred 694033 32
     [java] Duration:	107 ms		Content: America fred 49076 58
     [java] Duration:	3 ms		Content: America fred 718545 40
     [java] Duration:	2 ms		Content: America fred 747831 53
     [java] Duration:	2 ms		Content: America bob 131599 31
     [java] Duration:	2 ms		Content: America harry 271906 30
     [java] Duration:	3 ms		Content: America fred 605174 40
     [java] Duration:	3 ms		Content: America fred 501354 54
     [java] Duration:	3 ms		Content: America dave 357766 47
     [java] Duration:	3 ms		Content: America bob 75397 40
     [java] Duration:	4 ms		Content: America fred 941850 35
     [java] Duration:	13 ms		Content: America bob 228650 54
     [java] Duration:	2 ms		Content: America bob 913534 38
     [java] Duration:	3 ms		Content: America harry 493067 57
     [java] Duration:	2 ms		Content: America bob 80243 50
     [java] Duration:	2 ms		Content: America fred 810080 41
     [java] Duration:	3 ms		Content: America harry 429282 58
     [java] Duration:	2 ms		Content: America dave 384684 48
     [java] Duration:	2 ms		Content: America fred 245377 42
     [java] Duration:	3 ms		Content: America dave 343902 33
     [java] Duration:	2 ms		Content: America fred 321370 56
     [java] Duration:	2 ms		Content: America harry 855992 32
     [java] Duration:	3 ms		Content: America harry 66652 36
     [java] Duration:	3 ms		Content: America fred 703335 47
     [java] Duration:	3 ms		Content: America dave 883759 42
     [java] Duration:	3 ms		Content: America fred 1008658 30
     [java] Duration:	2 ms		Content: America dave 1034176 49
     [java] Duration:	2 ms		Content: America bob 344534 49
     [java] Duration:	3 ms		Content: America bob 21704 48
     [java] Duration:	24 ms		Content: America harry 4876 53
     [java] Duration:	2 ms		Content: America dave 907829 56
     [java] Duration:	9 ms		Content: America dave 743938 59
     [java] Duration:	19 ms		Content: America fred 163504 41
     [java] Duration:	3 ms		Content: America dave 449648 43
     [java] Duration:	5 ms		Content: America harry 833648 55
     [java] Duration:	2 ms		Content: America bob 586960 36
     [java] Duration:	3 ms		Content: America fred 374781 55
     [java] Duration:	2 ms		Content: America dave 526252 44
     [java] Duration:	2 ms		Content: America bob 492885 37
     [java] Duration:	3 ms		Content: America dave 813245 47
     [java] Duration:	2 ms		Content: America fred 354261 48
     [java] Duration:	2 ms		Content: America harry 734472 58
     [java] Duration:	2 ms		Content: America dave 759591 52
     [java] Duration:	2 ms		Content: America bob 766845 55
     [java] Duration:	2 ms		Content: America dave 852516 46
     [java] Duration:	2 ms		Content: America fred 862914 37
     [java] Duration:	2 ms		Content: America dave 535669 49
     [java] Duration:	2 ms		Content: America dave 500376 55
     [java] Duration:	2 ms		Content: America harry 900642 34
     [java] Duration:	2 ms		Content: America bob 641642 44
     [java] Duration:	3 ms		Content: America harry 131270 44
     [java] Duration:	2 ms		Content: America fred 37465 57
     [java] Duration:	2 ms		Content: America harry 13540 35
     [java] Duration:	2 ms		Content: America bob 334138 50
     [java] Duration:	2 ms		Content: America fred 744092 57
     [java] Duration:	2 ms		Content: America fred 482827 58
     [java] Duration:	2 ms		Content: America bob 62326 54
     [java] Duration:	2 ms		Content: America fred 783401 35
     [java] Duration:	2 ms		Content: America bob 36958 43
     [java] Duration:	4 ms		Content: America harry 686610 47
     [java] Duration:	6 ms		Content: America dave 454394 43
     [java] Duration:	2 ms		Content: America harry 498275 54
     [java] Duration:	2 ms		Content: America bob 552139 38
     [java] Duration:	2 ms		Content: America harry 283516 44
     [java] Duration:	4 ms		Content: America harry 32011 41
     [java] Duration:	2 ms		Content: America bob 614996 45
     [java] Duration:	2 ms		Content: America harry 299265 56
     [java] Duration:	3 ms		Content: America fred 396741 48
     [java] Duration:	3 ms		Content: America bob 138039 45
     [java] Duration:	4 ms		Content: America fred 926405 50
     [java] Duration:	3 ms		Content: America dave 128719 36
     [java] Duration:	3 ms		Content: America dave 352778 31
     [java] Duration:	2 ms		Content: America bob 774535 36
     [java] Duration:	32 ms		Content: America dave 85674 47
     [java] Duration:	3 ms		Content: America fred 1035492 57
     [java] Duration:	3 ms		Content: America bob 151439 34
     [java] Duration:	2 ms		Content: America fred 195137 59
     [java] Duration:	2 ms		Content: America harry 420632 40
     [java] Duration:	2 ms		Content: America fred 693391 46
     [java] Duration:	10 ms		Content: America bob 118671 55
     [java] Duration:	2 ms		Content: America dave 661390 56
     [java] Duration:	2 ms		Content: America bob 661325 56
     [java] Duration:	2 ms		Content: America fred 717112 40
     [java] Duration:	2 ms		Content: America fred 387644 43
     [java] Duration:	2 ms		Content: America fred 344970 33
     [java] Duration:	2 ms		Content: America dave 641851 50
     [java] Duration:	2 ms		Content: America bob 524608 54
     [java] Duration:	2 ms		Content: America dave 341175 55
     [java] Duration:	3 ms		Content: America dave 299819 59
     [java] Duration:	2 ms		Content: America dave 1043690 54
     [java] Duration:	2 ms		Content: America fred 139786 46
     [java] Duration:	2 ms		Content: America bob 1014518 57
     [java] Duration:	3 ms		Content: America harry 400837 48
     [java] Duration:	3 ms		Content: America bob 515328 53
     [java] Duration:	2 ms		Content: America dave 995794 43
     [java] Duration:	2 ms		Content: America harry 686601 45
     [java] Duration:	2 ms		Content: America harry 894063 47
     [java] Duration:	2 ms		Content: America dave 1036846 48
     [java] Duration:	2 ms		Content: America dave 523679 52
     [java] Duration:	2 ms		Content: America fred 993766 56
     [java] Duration:	2 ms		Content: America dave 602951 30
     [java] Duration:	2 ms		Content: America harry 212670 51
     [java] Duration:	2 ms		Content: America bob 1020937 32
     [java] Duration:	2 ms		Content: America bob 65225 52
     [java] Duration:	3 ms		Content: America bob 28079 59
     [java] Duration:	4 ms		Content: America harry 802404 53
     [java] Duration:	3 ms		Content: America fred 619161 30
     [java] Duration:	2 ms		Content: America bob 480396 36
     [java] Duration:	2 ms		Content: America harry 666295 34
     [java] Duration:	2 ms		Content: America dave 205177 59
     [java] Duration:	2 ms		Content: America dave 554892 30
     [java] Duration:	2 ms		Content: America harry 276107 42
     [java] Duration:	2 ms		Content: America harry 195507 39
     [java] Duration:	3 ms		Content: America harry 280869 47
     [java] Duration:	2 ms		Content: America harry 815181 53
     [java] Duration:	6 ms		Content: America bob 65734 52
     [java] Duration:	18 ms		Content: America dave 741466 58
     [java] Duration:	24 ms		Content: America fred 238219 44
     [java] Duration:	2 ms		Content: America bob 133727 53
     [java] Duration:	2 ms		Content: America fred 704094 40
     [java] Duration:	2 ms		Content: America fred 3653 46
     [java] Duration:	2 ms		Content: America bob 874732 51
     [java] Duration:	2 ms		Content: America bob 302258 53
     [java] Duration:	2 ms		Content: America bob 1000280 56
     [java] Duration:	2 ms		Content: America dave 671863 34
     [java] Duration:	2 ms		Content: America dave 640168 33
     [java] Duration:	2 ms		Content: America dave 734740 53
     [java] Duration:	2 ms		Content: America bob 401002 51
     [java] Duration:	3 ms		Content: America harry 418681 43
     [java] Duration:	2 ms		Content: America dave 123527 41
     [java] Duration:	2 ms		Content: America bob 778040 43
     [java] Duration:	2 ms		Content: America fred 702681 39
     [java] Duration:	2 ms		Content: America fred 59160 41
     [java] Duration:	2 ms		Content: America dave 929824 53
     [java] Duration:	8 ms		Content: America dave 986916 49
     [java] Duration:	2 ms		Content: America bob 532710 32
     [java] Duration:	2 ms		Content: America harry 109571 48
     [java] Duration:	2 ms		Content: America bob 383778 46
     [java] Duration:	2 ms		Content: America harry 46068 47
     [java] Duration:	2 ms		Content: America fred 762854 53
     [java] Duration:	2 ms		Content: America fred 798109 59
     [java] Duration:	2 ms		Content: America dave 243263 57
     [java] Duration:	2 ms		Content: America dave 1010636 59
     [java] Duration:	12 ms		Content: America bob 383806 50
     [java] Duration:	2 ms		Content: America dave 332568 34
     [java] Duration:	2 ms		Content: America bob 725742 57
     [java] Duration:	2 ms		Content: America fred 122494 36
     [java] Duration:	4 ms		Content: America fred 407416 50
     [java] Duration:	2 ms		Content: America dave 668271 56
     [java] Duration:	6 ms		Content: America dave 255909 42
     [java] Duration:	3 ms		Content: America fred 433084 54
     [java] Duration:	24 ms		Content: America bob 735830 44
     [java] Duration:	4 ms		Content: America harry 34839 31
     [java] Duration:	2 ms		Content: America dave 311851 34
     [java] Duration:	3 ms		Content: America dave 407516 35
     [java] Duration:	2 ms		Content: America harry 591939 52
     [java] Duration:	5 ms		Content: America harry 1043270 39
     [java] Duration:	2 ms		Content: America fred 319875 45
     [java] Duration:	2 ms		Content: America dave 7707 36
     [java] Duration:	2 ms		Content: America bob 267958 46
     [java] Duration:	3 ms		Content: America bob 572535 42
     [java] Duration:	2 ms		Content: America fred 665223 49
     [java] Duration:	3 ms		Content: America dave 521957 57
     [java] Duration:	2 ms		Content: America harry 627702 34
     [java] Duration:	2 ms		Content: America bob 628302 39
     [java] Duration:	2 ms		Content: America dave 510351 40
     [java] Duration:	39 ms		Content: America dave 1021724 53
     [java] Duration:	3 ms		Content: America dave 625047 45
     [java] Duration:	2 ms		Content: America bob 396358 52
     [java] Duration:	2 ms		Content: America dave 271013 53
     [java] Duration:	2 ms		Content: America dave 325227 53
     [java] Duration:	5 ms		Content: America fred 409918 44
     [java] Duration:	2 ms		Content: America dave 156318 46
     [java] Duration:	25 ms		Content: America dave 1000598 48
     [java] Duration:	2 ms		Content: America harry 928413 58
     [java] Duration:	3 ms		Content: America fred 225183 50
     [java] Duration:	2 ms		Content: America harry 543657 41
     [java] Duration:	2 ms		Content: America fred 615858 30
     [java] Duration:	22 ms		Content: America dave 73887 35
     [java] Duration:	2 ms		Content: America bob 12154 38
     [java] Duration:	2 ms		Content: America bob 932944 44
     [java] Duration:	2 ms		Content: America bob 34700 58
     [java] Duration:	2 ms		Content: America fred 50466 43
     [java] Duration:	2 ms		Content: America fred 440882 37
     [java] Duration:	2 ms		Content: America bob 309161 53
     [java] Duration:	2 ms		Content: America harry 1029349 43
     [java] Duration:	4 ms		Content: America bob 346884 56
     [java] Duration:	3 ms		Content: America fred 631012 35
     [java] Duration:	3 ms		Content: America fred 306346 33
     [java] Duration:	2 ms		Content: America dave 554746 57
     [java] Duration:	2 ms		Content: America fred 901269 54
     [java] Duration:	2 ms		Content: America dave 615483 39
     [java] Duration:	2 ms		Content: America fred 527559 51
     [java] Duration:	2 ms		Content: America dave 492754 44
     [java] Duration:	9 ms		Content: America dave 225870 49
     [java] Duration:	2 ms		Content: America fred 1031719 43
     [java] Duration:	2 ms		Content: America fred 344745 39
     [java] Duration:	3 ms		Content: America dave 564390 43
     [java] Duration:	2 ms		Content: America fred 374309 48
     [java] Duration:	24 ms		Content: America fred 824132 43
     [java] Duration:	3 ms		Content: America harry 592289 51
     [java] Duration:	2 ms		Content: America fred 74853 44
     [java] Duration:	2 ms		Content: America dave 616856 39
     [java] Duration:	2 ms		Content: America bob 1041984 38
     [java] Duration:	3 ms		Content: America dave 851032 41
     [java] Duration:	2 ms		Content: America dave 888667 52
     [java] Duration:	2 ms		Content: America fred 668323 33
     [java] Duration:	4 ms		Content: America dave 827851 48
     [java] Duration:	2 ms		Content: America fred 485391 51
     [java] Duration:	2 ms		Content: America harry 20329 41
     [java] Duration:	2 ms		Content: America dave 832581 57
     [java] Duration:	2 ms		Content: America harry 110964 46
     [java] Duration:	4 ms		Content: America bob 568656 52
     [java] Duration:	2 ms		Content: America fred 113837 36
     [java] Duration:	2 ms		Content: America bob 878279 32
     [java] Duration:	6 ms		Content: America dave 885670 59
     [java] Duration:	4 ms		Content: America harry 39708 51
     [java] Duration:	3 ms		Content: America bob 266881 30
     [java] Duration:	21 ms		Content: America fred 878077 39
     [java] Duration:	3 ms		Content: America dave 475741 58
     [java] Duration:	2 ms		Content: America harry 680642 57
     [java] Duration:	2 ms		Content: America harry 284822 58
     [java] Duration:	2 ms		Content: America bob 1036466 54
     [java] Duration:	2 ms		Content: America bob 534880 38
     [java] Duration:	8 ms		Content: America harry 943161 49
     [java] Duration:	2 ms		Content: America bob 360043 52
     [java] Duration:	2 ms		Content: America bob 165899 36
     [java] Duration:	2 ms		Content: America fred 881613 54
     [java] Duration:	2 ms		Content: America bob 477544 40
     [java] Duration:	2 ms		Content: America bob 297691 51
     [java] Duration:	2 ms		Content: America bob 278541 38
     [java] Duration:	2 ms		Content: America bob 211812 36
     [java] Duration:	2 ms		Content: America dave 759302 38
     [java] Duration:	4 ms		Content: America bob 506989 31
     [java] Duration:	5 ms		Content: America bob 567196 45
     [java] Duration:	3 ms		Content: America harry 845441 34
     [java] Duration:	2 ms		Content: America fred 564671 42
     [java] Duration:	3 ms		Content: America harry 837118 50
     [java] Duration:	2 ms		Content: America dave 1014321 31
     [java] Duration:	2 ms		Content: America fred 965097 53
     [java] Duration:	2 ms		Content: America harry 73494 41
     [java] Duration:	2 ms		Content: America dave 502231 33
     [java] Duration:	3 ms		Content: America dave 185377 59
     [java] Duration:	24 ms		Content: America dave 255347 43
     [java] Duration:	2 ms		Content: America fred 307950 46
     [java] Duration:	5 ms		Content: America dave 624573 58
     [java] Duration:	2 ms		Content: America harry 993196 47
     [java] Duration:	2 ms		Content: America bob 967269 30
     [java] Duration:	3 ms		Content: America dave 47882 45
     [java] Duration:	3 ms		Content: America fred 537706 46
     [java] Duration:	3 ms		Content: America harry 489806 49
     [java] Duration:	2 ms		Content: America fred 494512 35
     [java] Duration:	2 ms		Content: America bob 336046 55
     [java] Duration:	2 ms		Content: America bob 628451 37
     [java] Duration:	2 ms		Content: America fred 235651 40
     [java] Duration:	2 ms		Content: America fred 913282 34
     [java] Duration:	2 ms		Content: America harry 224362 30
     [java] Duration:	24 ms		Content: America bob 214416 48
     [java] Duration:	3 ms		Content: America harry 861185 58
     [java] Duration:	2 ms		Content: America dave 35481 30
     [java] Duration:	3 ms		Content: America dave 306339 34
     [java] Duration:	2 ms		Content: America dave 796251 37
     [java] Duration:	2 ms		Content: America fred 86175 48
     [java] Duration:	2 ms		Content: America harry 228446 31
     [java] Duration:	2 ms		Content: America dave 9613 54
     [java] Duration:	2 ms		Content: America fred 859711 46
     [java] Duration:	2 ms		Content: America dave 484735 47
     [java] Duration:	2 ms		Content: America dave 877412 52
     [java] Duration:	2 ms		Content: America bob 690043 50
     [java] Duration:	2 ms		Content: America dave 727389 47
     [java] Duration:	2 ms		Content: America bob 143793 45
     [java] Duration:	2 ms		Content: America bob 296965 47
     [java] Duration:	2 ms		Content: America harry 707335 49
     [java] Duration:	3 ms		Content: America bob 629103 58
     [java] Duration:	2 ms		Content: America dave 109667 52
     [java] Duration:	2 ms		Content: America harry 580293 50
     [java] Duration:	2 ms		Content: America dave 588342 31
     [java] Duration:	2 ms		Content: America dave 850077 54
     [java] Duration:	2 ms		Content: America bob 687099 36
     [java] Duration:	2 ms		Content: America harry 690687 45
     [java] Duration:	2 ms		Content: America harry 327142 34
     [java] Duration:	3 ms		Content: America bob 1040112 40
     [java] Duration:	4 ms		Content: America fred 331414 41
     [java] Duration:	2 ms		Content: America harry 516503 30
     [java] Duration:	4 ms		Content: America bob 762867 47
     [java] Duration:	2 ms		Content: America bob 719950 30
     [java] Duration:	2 ms		Content: America bob 770909 35
     [java] Duration:	2 ms		Content: America fred 212181 59
     [java] Duration:	2 ms		Content: America fred 57386 53
     [java] Duration:	3 ms		Content: America harry 107678 38
     [java] Duration:	2 ms		Content: America dave 435137 44
     [java] Duration:	24 ms		Content: America harry 401775 55
     [java] Duration:	2 ms		Content: America harry 847024 41
     [java] Duration:	11 ms		Content: America harry 778992 37
     [java] Duration:	2 ms		Content: America dave 1006079 36
     [java] Duration:	2 ms		Content: America dave 1046374 46
     [java] Duration:	2 ms		Content: America fred 674266 37
     [java] Duration:	22 ms		Content: America fred 995250 33
     [java] Duration:	3 ms		Content: America fred 930703 31
     [java] Duration:	2 ms		Content: America dave 774134 46
     [java] Duration:	3 ms		Content: America bob 742728 56
     [java] Duration:	2 ms		Content: America bob 794795 34
     [java] Duration:	2 ms		Content: America fred 693754 53
     [java] Duration:	2 ms		Content: America dave 238067 57
     [java] Duration:	2 ms		Content: America fred 829711 46
     [java] Duration:	25 ms		Content: America bob 56366 34
     [java] Duration:	2 ms		Content: America dave 565017 59
     [java] Duration:	2 ms		Content: America bob 679902 48
     [java] Duration:	2 ms		Content: America harry 905504 37
     [java] Duration:	3 ms		Content: America bob 476980 32
     [java] Duration:	2 ms		Content: America harry 113513 34
     [java] Duration:	2 ms		Content: America harry 993223 40
     [java] Duration:	3 ms		Content: America fred 723801 41
     [java] Duration:	3 ms		Content: America harry 656424 33
     [java] Duration:	3 ms		Content: America bob 954601 42
     [java] Duration:	2 ms		Content: America bob 6761 50
     [java] Duration:	2 ms		Content: America bob 154077 49
     [java] Duration:	2 ms		Content: America harry 350724 35
     [java] Duration:	2 ms		Content: America bob 669750 50
     [java] Duration:	2 ms		Content: America fred 293446 35
     [java] Duration:	2 ms		Content: America dave 824023 47
     [java] Duration:	4 ms		Content: America bob 1029358 49
     [java] Duration:	2 ms		Content: America fred 959215 47
     [java] Duration:	2 ms		Content: America bob 303177 55
     [java] Duration:	3 ms		Content: America fred 225666 45
     [java] Duration:	2 ms		Content: America fred 71386 59
     [java] Duration:	4 ms		Content: America fred 148233 30
     [java] Duration:	2 ms		Content: America dave 519777 46
     [java] Duration:	23 ms		Content: America fred 646518 46
     [java] Duration:	3 ms		Content: America harry 1029074 54
     [java] Duration:	2 ms		Content: America dave 150976 48
     [java] Duration:	2 ms		Content: America fred 115918 51
     [java] Duration:	2 ms		Content: America fred 543572 49
     [java] Duration:	2 ms		Content: America bob 134730 53
     [java] Duration:	3 ms		Content: America harry 185015 35
     [java] Duration:	23 ms		Content: America dave 979247 53
     [java] Duration:	3 ms		Content: America bob 1026201 57
     [java] Duration:	2 ms		Content: America harry 125058 46
     [java] Duration:	2 ms		Content: America dave 956561 54
     [java] Duration:	2 ms		Content: America bob 862772 44
     [java] Duration:	4 ms		Content: America bob 1038319 35
     [java] Duration:	3 ms		Content: America harry 965716 49
     [java] Duration:	2 ms		Content: America dave 608149 53
     [java] Duration:	2 ms		Content: America bob 640171 48
     [java] Duration:	2 ms		Content: America bob 16293 34
     [java] Duration:	2 ms		Content: America dave 480972 52
     [java] Duration:	2 ms		Content: America harry 828724 32
     [java] Duration:	3 ms		Content: America bob 489977 59
     [java] Duration:	2 ms		Content: America bob 586969 38
     [java] Duration:	2 ms		Content: America dave 500948 35
     [java] Duration:	2 ms		Content: America dave 525319 56
     [java] Duration:	2 ms		Content: America fred 797015 58
     [java] Duration:	2 ms		Content: America bob 1986 32
     [java] Duration:	3 ms		Content: America harry 943544 49
     [java] Duration:	3 ms		Content: America bob 186265 46
     [java] Duration:	3 ms		Content: America fred 395282 47
     [java] Duration:	2 ms		Content: America dave 99334 36
     [java] Duration:	2 ms		Content: America harry 838579 32
