Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	1962 ms		Content: America harry 849544 41
     [java] Duration:	2 ms		Content: America harry 502991 49
     [java] Duration:	3 ms		Content: America dave 972286 34
     [java] Duration:	2 ms		Content: America harry 541268 52
     [java] Duration:	2 ms		Content: America bob 796470 30
     [java] Duration:	3 ms		Content: America bob 414813 42
     [java] Duration:	2 ms		Content: America dave 902629 53
     [java] Duration:	2 ms		Content: America harry 510527 59
     [java] Duration:	26 ms		Content: America fred 704706 37
     [java] Duration:	2 ms		Content: America harry 442782 46
     [java] Duration:	2 ms		Content: America dave 29466 55
     [java] Duration:	2 ms		Content: America harry 610810 44
     [java] Duration:	2 ms		Content: America bob 108874 31
     [java] Duration:	5 ms		Content: America bob 820402 49
     [java] Duration:	7 ms		Content: America bob 76635 30
     [java] Duration:	2 ms		Content: America bob 970776 33
     [java] Duration:	2 ms		Content: America fred 267224 46
     [java] Duration:	2 ms		Content: America dave 823645 55
     [java] Duration:	3 ms		Content: America harry 341291 41
     [java] Duration:	2 ms		Content: America bob 988219 57
     [java] Duration:	4 ms		Content: America bob 146852 35
     [java] Duration:	2 ms		Content: America dave 526143 35
     [java] Duration:	3 ms		Content: America fred 928932 40
     [java] Duration:	2 ms		Content: America bob 274749 36
     [java] Duration:	2 ms		Content: America fred 80829 56
     [java] Duration:	2 ms		Content: America dave 491682 44
     [java] Duration:	3 ms		Content: America fred 142854 39
     [java] Duration:	2 ms		Content: America dave 314219 36
     [java] Duration:	2 ms		Content: America bob 63937 54
     [java] Duration:	2 ms		Content: America harry 599599 51
     [java] Duration:	2 ms		Content: America dave 586918 41
     [java] Duration:	2 ms		Content: America dave 916609 57
     [java] Duration:	2 ms		Content: America bob 423931 58
     [java] Duration:	2 ms		Content: America harry 254256 59
     [java] Duration:	2 ms		Content: America harry 243602 52
     [java] Duration:	2 ms		Content: America harry 385005 53
     [java] Duration:	2 ms		Content: America harry 34458 59
     [java] Duration:	2 ms		Content: America bob 753950 55
     [java] Duration:	24 ms		Content: America bob 844331 49
     [java] Duration:	2 ms		Content: America dave 367687 35
     [java] Duration:	2 ms		Content: America fred 886701 55
     [java] Duration:	2 ms		Content: America bob 161783 52
     [java] Duration:	2 ms		Content: America bob 86765 41
     [java] Duration:	2 ms		Content: America dave 210704 58
     [java] Duration:	5 ms		Content: America bob 691808 37
     [java] Duration:	2 ms		Content: America fred 632730 31
     [java] Duration:	2 ms		Content: America fred 840015 37
     [java] Duration:	2 ms		Content: America dave 901593 36
     [java] Duration:	2 ms		Content: America dave 762715 58
     [java] Duration:	2 ms		Content: America harry 199812 52
     [java] Duration:	2 ms		Content: America bob 127216 56
     [java] Duration:	2 ms		Content: America dave 741265 56
     [java] Duration:	3 ms		Content: America fred 323739 35
     [java] Duration:	2 ms		Content: America dave 267401 32
     [java] Duration:	2 ms		Content: America dave 942199 30
     [java] Duration:	2 ms		Content: America bob 78396 55
     [java] Duration:	2 ms		Content: America bob 703976 56
     [java] Duration:	2 ms		Content: America bob 857565 49
     [java] Duration:	2 ms		Content: America fred 536951 59
     [java] Duration:	2 ms		Content: America harry 628867 31
     [java] Duration:	3 ms		Content: America dave 450304 57
     [java] Duration:	2 ms		Content: America fred 1005668 41
     [java] Duration:	2 ms		Content: America fred 16442 34
     [java] Duration:	2 ms		Content: America dave 709490 50
     [java] Duration:	2 ms		Content: America bob 827629 50
     [java] Duration:	2 ms		Content: America dave 453773 54
     [java] Duration:	3 ms		Content: America bob 494279 44
     [java] Duration:	2 ms		Content: America fred 338841 51
     [java] Duration:	2 ms		Content: America bob 936287 35
     [java] Duration:	2 ms		Content: America dave 218134 47
     [java] Duration:	2 ms		Content: America dave 508317 31
     [java] Duration:	2 ms		Content: America harry 838905 32
     [java] Duration:	2 ms		Content: America harry 621777 46
     [java] Duration:	6 ms		Content: America fred 376280 42
     [java] Duration:	2 ms		Content: America harry 405108 35
     [java] Duration:	2 ms		Content: America bob 149402 30
     [java] Duration:	2 ms		Content: America dave 115466 57
     [java] Duration:	3 ms		Content: America harry 457332 42
     [java] Duration:	2 ms		Content: America dave 1014275 41
     [java] Duration:	2 ms		Content: America dave 98929 41
     [java] Duration:	4 ms		Content: America harry 788759 55
     [java] Duration:	2 ms		Content: America fred 905185 57
     [java] Duration:	2 ms		Content: America bob 779567 59
     [java] Duration:	2 ms		Content: America dave 826356 52
     [java] Duration:	24 ms		Content: America harry 282645 42
     [java] Duration:	3 ms		Content: America dave 74261 30
     [java] Duration:	4 ms		Content: America bob 1046566 50
     [java] Duration:	3 ms		Content: America bob 369488 39
     [java] Duration:	2 ms		Content: America dave 218410 40
     [java] Duration:	2 ms		Content: America fred 752312 38
     [java] Duration:	3 ms		Content: America fred 261836 31
     [java] Duration:	10 ms		Content: America dave 698937 59
     [java] Duration:	2 ms		Content: America bob 478415 52
     [java] Duration:	2 ms		Content: America bob 1017218 43
     [java] Duration:	3 ms		Content: America fred 797066 41
     [java] Duration:	2 ms		Content: America bob 949867 41
     [java] Duration:	2 ms		Content: America bob 912920 55
     [java] Duration:	25 ms		Content: America bob 101917 37
     [java] Duration:	3 ms		Content: America bob 514031 41
     [java] Duration:	2 ms		Content: America bob 800381 55
     [java] Duration:	3 ms		Content: America harry 714199 44
     [java] Duration:	3 ms		Content: America dave 598923 50
     [java] Duration:	2 ms		Content: America fred 865209 31
     [java] Duration:	2 ms		Content: America harry 212048 41
     [java] Duration:	2 ms		Content: America bob 197017 40
     [java] Duration:	24 ms		Content: America harry 110561 57
     [java] Duration:	3 ms		Content: America bob 23223 39
     [java] Duration:	2 ms		Content: America dave 979805 35
     [java] Duration:	2 ms		Content: America dave 1006373 46
     [java] Duration:	2 ms		Content: America fred 50606 38
     [java] Duration:	2 ms		Content: America harry 862388 52
     [java] Duration:	2 ms		Content: America bob 169796 37
     [java] Duration:	2 ms		Content: America fred 305845 53
     [java] Duration:	2 ms		Content: America fred 955084 59
     [java] Duration:	2 ms		Content: America dave 1000396 57
     [java] Duration:	2 ms		Content: America fred 346790 46
     [java] Duration:	2 ms		Content: America bob 560236 43
     [java] Duration:	2 ms		Content: America fred 493159 58
     [java] Duration:	2 ms		Content: America dave 336375 49
     [java] Duration:	2 ms		Content: America bob 72638 49
     [java] Duration:	2 ms		Content: America bob 170107 37
     [java] Duration:	2 ms		Content: America harry 440785 32
     [java] Duration:	2 ms		Content: America harry 842028 39
     [java] Duration:	3 ms		Content: America fred 218987 30
     [java] Duration:	2 ms		Content: America dave 135487 46
     [java] Duration:	3 ms		Content: America harry 378196 54
     [java] Duration:	3 ms		Content: America harry 651625 44
     [java] Duration:	2 ms		Content: America bob 913490 35
     [java] Duration:	2 ms		Content: America dave 377633 52
     [java] Duration:	3 ms		Content: America harry 577424 57
     [java] Duration:	2 ms		Content: America fred 795675 49
     [java] Duration:	2 ms		Content: America fred 383597 41
     [java] Duration:	2 ms		Content: America bob 811837 47
     [java] Duration:	2 ms		Content: America harry 199418 47
     [java] Duration:	2 ms		Content: America fred 703395 50
     [java] Duration:	2 ms		Content: America harry 890838 53
     [java] Duration:	2 ms		Content: America dave 321510 54
     [java] Duration:	2 ms		Content: America bob 552422 46
     [java] Duration:	2 ms		Content: America dave 435091 39
     [java] Duration:	2 ms		Content: America dave 927171 49
     [java] Duration:	2 ms		Content: America harry 222411 59
     [java] Duration:	2 ms		Content: America bob 193061 32
     [java] Duration:	3 ms		Content: America bob 946911 34
     [java] Duration:	2 ms		Content: America fred 726199 41
     [java] Duration:	2 ms		Content: America bob 919593 50
     [java] Duration:	5 ms		Content: America dave 230790 50
     [java] Duration:	2 ms		Content: America bob 577686 46
     [java] Duration:	2 ms		Content: America bob 831623 58
     [java] Duration:	2 ms		Content: America bob 250516 59
     [java] Duration:	2 ms		Content: America dave 409771 40
     [java] Duration:	5 ms		Content: America dave 544259 33
     [java] Duration:	2 ms		Content: America harry 18505 33
     [java] Duration:	2 ms		Content: America harry 207867 53
     [java] Duration:	2 ms		Content: America bob 354663 46
     [java] Duration:	2 ms		Content: America fred 700862 45
     [java] Duration:	2 ms		Content: America fred 669578 31
     [java] Duration:	2 ms		Content: America harry 520782 57
     [java] Duration:	2 ms		Content: America dave 257407 50
     [java] Duration:	2 ms		Content: America bob 523029 31
     [java] Duration:	27 ms		Content: America dave 417028 32
     [java] Duration:	2 ms		Content: America bob 11427 47
     [java] Duration:	2 ms		Content: America dave 316913 42
     [java] Duration:	2 ms		Content: America dave 728945 37
     [java] Duration:	2 ms		Content: America harry 852943 56
     [java] Duration:	2 ms		Content: America bob 267540 41
     [java] Duration:	2 ms		Content: America dave 910835 31
     [java] Duration:	2 ms		Content: America dave 553092 31
     [java] Duration:	2 ms		Content: America bob 949886 35
     [java] Duration:	2 ms		Content: America bob 806764 58
     [java] Duration:	2 ms		Content: America bob 925642 38
     [java] Duration:	2 ms		Content: America harry 605717 46
     [java] Duration:	3 ms		Content: America harry 861118 39
     [java] Duration:	2 ms		Content: America fred 608185 31
     [java] Duration:	2 ms		Content: America bob 63491 44
     [java] Duration:	2 ms		Content: America bob 1041566 30
     [java] Duration:	2 ms		Content: America fred 136724 38
     [java] Duration:	4 ms		Content: America dave 851220 41
     [java] Duration:	2 ms		Content: America dave 133659 36
     [java] Duration:	3 ms		Content: America fred 399271 52
     [java] Duration:	3 ms		Content: America harry 464886 41
     [java] Duration:	2 ms		Content: America fred 1036150 34
     [java] Duration:	2 ms		Content: America dave 416656 48
     [java] Duration:	2 ms		Content: America bob 300701 57
     [java] Duration:	2 ms		Content: America bob 538382 38
     [java] Duration:	3 ms		Content: America harry 452171 34
     [java] Duration:	3 ms		Content: America dave 825402 34
     [java] Duration:	2 ms		Content: America bob 8718 32
     [java] Duration:	2 ms		Content: America dave 43138 53
     [java] Duration:	2 ms		Content: America bob 251212 52
     [java] Duration:	2 ms		Content: America fred 1042537 43
     [java] Duration:	2 ms		Content: America dave 833694 58
     [java] Duration:	2 ms		Content: America bob 776495 35
     [java] Duration:	2 ms		Content: America bob 551323 43
     [java] Duration:	2 ms		Content: America fred 361091 33
     [java] Duration:	2 ms		Content: America dave 779155 36
     [java] Duration:	2 ms		Content: America dave 1002355 37
     [java] Duration:	2 ms		Content: America bob 321157 44
     [java] Duration:	2 ms		Content: America bob 400125 34
     [java] Duration:	2 ms		Content: America harry 257519 50
     [java] Duration:	2 ms		Content: America fred 783494 38
     [java] Duration:	2 ms		Content: America harry 725779 36
     [java] Duration:	3 ms		Content: America dave 903777 41
     [java] Duration:	2 ms		Content: America fred 510685 34
     [java] Duration:	2 ms		Content: America bob 178602 45
     [java] Duration:	6 ms		Content: America dave 832682 47
     [java] Duration:	2 ms		Content: America fred 564638 53
     [java] Duration:	2 ms		Content: America fred 423180 34
     [java] Duration:	2 ms		Content: America bob 755047 39
     [java] Duration:	5 ms		Content: America harry 168481 46
     [java] Duration:	2 ms		Content: America harry 212287 46
     [java] Duration:	2 ms		Content: America bob 897986 47
     [java] Duration:	2 ms		Content: America harry 66226 36
     [java] Duration:	2 ms		Content: America fred 181077 41
     [java] Duration:	2 ms		Content: America harry 466987 49
     [java] Duration:	25 ms		Content: America dave 604332 54
     [java] Duration:	3 ms		Content: America bob 258917 40
     [java] Duration:	2 ms		Content: America bob 886259 38
     [java] Duration:	2 ms		Content: America harry 756331 32
     [java] Duration:	2 ms		Content: America harry 161384 42
     [java] Duration:	2 ms		Content: America harry 238739 54
     [java] Duration:	2 ms		Content: America dave 95801 41
     [java] Duration:	3 ms		Content: America harry 580627 46
     [java] Duration:	5 ms		Content: America bob 960317 54
     [java] Duration:	3 ms		Content: America bob 543286 48
     [java] Duration:	2 ms		Content: America bob 1215 41
     [java] Duration:	2 ms		Content: America fred 320421 56
     [java] Duration:	2 ms		Content: America fred 737792 56
     [java] Duration:	2 ms		Content: America fred 974974 34
     [java] Duration:	2 ms		Content: America bob 865731 51
     [java] Duration:	2 ms		Content: America dave 341621 30
     [java] Duration:	2 ms		Content: America bob 152633 51
     [java] Duration:	5 ms		Content: America dave 206681 43
     [java] Duration:	3 ms		Content: America bob 575065 40
     [java] Duration:	2 ms		Content: America dave 652370 39
     [java] Duration:	2 ms		Content: America dave 92285 54
     [java] Duration:	2 ms		Content: America harry 899367 41
     [java] Duration:	2 ms		Content: America fred 533690 55
     [java] Duration:	2 ms		Content: America fred 493146 56
     [java] Duration:	2 ms		Content: America fred 68255 55
     [java] Duration:	2 ms		Content: America harry 275296 56
     [java] Duration:	3 ms		Content: America dave 24171 33
     [java] Duration:	2 ms		Content: America dave 675631 30
     [java] Duration:	2 ms		Content: America harry 500916 37
     [java] Duration:	2 ms		Content: America dave 375736 35
     [java] Duration:	2 ms		Content: America fred 271661 38
     [java] Duration:	2 ms		Content: America fred 727255 30
     [java] Duration:	2 ms		Content: America fred 7182 51
     [java] Duration:	2 ms		Content: America bob 815554 50
     [java] Duration:	2 ms		Content: America dave 390845 33
     [java] Duration:	2 ms		Content: America dave 1001054 32
     [java] Duration:	2 ms		Content: America fred 510013 49
     [java] Duration:	4 ms		Content: America fred 387126 58
     [java] Duration:	2 ms		Content: America harry 634661 37
     [java] Duration:	2 ms		Content: America harry 729338 54
     [java] Duration:	2 ms		Content: America harry 351168 43
     [java] Duration:	2 ms		Content: America fred 173583 33
     [java] Duration:	3 ms		Content: America dave 425442 36
     [java] Duration:	2 ms		Content: America bob 1013162 35
     [java] Duration:	2 ms		Content: America fred 860781 36
     [java] Duration:	2 ms		Content: America bob 770624 34
     [java] Duration:	3 ms		Content: America fred 802668 55
     [java] Duration:	2 ms		Content: America harry 808297 48
     [java] Duration:	5 ms		Content: America dave 88287 45
     [java] Duration:	3 ms		Content: America fred 164204 47
     [java] Duration:	2 ms		Content: America dave 672430 59
     [java] Duration:	2 ms		Content: America bob 72436 35
     [java] Duration:	23 ms		Content: America dave 447962 54
     [java] Duration:	2 ms		Content: America bob 575230 59
     [java] Duration:	2 ms		Content: America bob 321734 51
     [java] Duration:	2 ms		Content: America fred 758153 57
     [java] Duration:	2 ms		Content: America harry 987021 46
     [java] Duration:	2 ms		Content: America dave 147250 51
     [java] Duration:	2 ms		Content: America bob 620758 39
     [java] Duration:	2 ms		Content: America bob 830611 43
     [java] Duration:	2 ms		Content: America harry 898487 41
     [java] Duration:	2 ms		Content: America bob 604455 54
     [java] Duration:	2 ms		Content: America dave 579089 44
     [java] Duration:	11 ms		Content: America harry 910355 35
     [java] Duration:	3 ms		Content: America dave 1010680 47
     [java] Duration:	2 ms		Content: America harry 183187 49
     [java] Duration:	2 ms		Content: America harry 141081 58
     [java] Duration:	3 ms		Content: America harry 389526 59
     [java] Duration:	2 ms		Content: America fred 206974 57
     [java] Duration:	2 ms		Content: America bob 747516 53
     [java] Duration:	2 ms		Content: America dave 806802 43
     [java] Duration:	11 ms		Content: America harry 723196 59
     [java] Duration:	2 ms		Content: America fred 761565 37
     [java] Duration:	4 ms		Content: America fred 426785 45
     [java] Duration:	2 ms		Content: America bob 623443 44
     [java] Duration:	2 ms		Content: America bob 668611 44
     [java] Duration:	2 ms		Content: America bob 127277 39
     [java] Duration:	2 ms		Content: America fred 805403 44
     [java] Duration:	2 ms		Content: America fred 727520 42
