Buildfile: /home/ec2-user/mongo-write-availability/build.xml

run:
     [java] Duration:	268 ms		Content: Europe alice 939743 58
     [java] Duration:	2 ms		Content: Europe eve 483393 50
     [java] Duration:	26 ms		Content: Europe eve 723615 41
     [java] Duration:	3 ms		Content: Europe gary 65472 52
     [java] Duration:	4 ms		Content: Europe gary 37547 34
     [java] Duration:	39 ms		Content: Europe eve 727373 30
     [java] Duration:	3 ms		Content: Europe gary 319289 49
     [java] Duration:	4 ms		Content: Europe carol 593904 45
     [java] Duration:	3 ms		Content: Europe carol 3561 36
     [java] Duration:	2 ms		Content: Europe gary 441979 39
     [java] Duration:	2 ms		Content: Europe alice 944975 56
     [java] Duration:	2 ms		Content: Europe carol 693412 48
     [java] Duration:	3 ms		Content: Europe gary 1004247 49
     [java] Duration:	2 ms		Content: Europe eve 475407 57
     [java] Duration:	2 ms		Content: Europe carol 821600 37
     [java] Duration:	3 ms		Content: Europe alice 52590 31
     [java] Duration:	3 ms		Content: Europe carol 606025 59
     [java] Duration:	4 ms		Content: Europe alice 239757 36
     [java] Duration:	3 ms		Content: Europe carol 778812 49
     [java] Duration:	2 ms		Content: Europe carol 187294 56
     [java] Duration:	2 ms		Content: Europe eve 219166 57
     [java] Duration:	3 ms		Content: Europe gary 408139 42
     [java] Duration:	4 ms		Content: Europe eve 388131 46
     [java] Duration:	8 ms		Content: Europe eve 350952 36
     [java] Duration:	3 ms		Content: Europe gary 717133 35
     [java] Duration:	2 ms		Content: Europe alice 933491 34
     [java] Duration:	2 ms		Content: Europe eve 545773 58
     [java] Duration:	2 ms		Content: Europe alice 430917 53
     [java] Duration:	3 ms		Content: Europe carol 635954 56
     [java] Duration:	5 ms		Content: Europe carol 540416 35
     [java] Duration:	3 ms		Content: Europe eve 259438 49
     [java] Duration:	2 ms		Content: Europe eve 109328 42
     [java] Duration:	2 ms		Content: Europe alice 279807 32
     [java] Duration:	2 ms		Content: Europe gary 519617 30
     [java] Duration:	2 ms		Content: Europe alice 45841 58
     [java] Duration:	2 ms		Content: Europe alice 830200 47
     [java] Duration:	3 ms		Content: Europe carol 114206 34
     [java] Duration:	3 ms		Content: Europe carol 693319 46
     [java] Duration:	17 ms		Content: Europe alice 778949 32
     [java] Duration:	3 ms		Content: Europe eve 380604 33
     [java] Duration:	5 ms		Content: Europe gary 723999 58
     [java] Duration:	15 ms		Content: Europe carol 126612 47
     [java] Duration:	3 ms		Content: Europe carol 449698 54
     [java] Duration:	2 ms		Content: Europe alice 412146 45
     [java] Duration:	2 ms		Content: Europe eve 227854 53
     [java] Duration:	2 ms		Content: Europe carol 474264 48
     [java] Duration:	2 ms		Content: Europe alice 225613 30
     [java] Duration:	2 ms		Content: Europe gary 1039039 30
     [java] Duration:	2 ms		Content: Europe eve 608648 31
     [java] Duration:	3 ms		Content: Europe eve 365124 46
     [java] Duration:	3 ms		Content: Europe carol 745429 50
     [java] Duration:	2 ms		Content: Europe carol 819787 43
     [java] Duration:	2 ms		Content: Europe gary 988808 59
     [java] Duration:	2 ms		Content: Europe gary 269937 59
     [java] Duration:	3 ms		Content: Europe alice 442393 33
     [java] Duration:	2 ms		Content: Europe gary 952045 38
     [java] Duration:	3 ms		Content: Europe carol 121326 35
     [java] Duration:	4 ms		Content: Europe eve 993831 48
     [java] Duration:	2 ms		Content: Europe gary 652214 42
     [java] Duration:	2 ms		Content: Europe eve 869197 43
     [java] Duration:	3 ms		Content: Europe carol 537064 38
     [java] Duration:	2 ms		Content: Europe gary 890837 42
     [java] Duration:	2 ms		Content: Europe eve 393359 47
     [java] Duration:	3 ms		Content: Europe carol 572312 48
     [java] Duration:	2 ms		Content: Europe carol 426449 50
     [java] Duration:	31 ms		Content: Europe carol 266449 30
     [java] Duration:	17 ms		Content: Europe alice 258126 45
     [java] Duration:	2 ms		Content: Europe eve 705143 32
     [java] Duration:	3 ms		Content: Europe gary 560892 34
     [java] Duration:	2 ms		Content: Europe gary 850664 46
     [java] Duration:	2 ms		Content: Europe gary 812237 58
     [java] Duration:	9 ms		Content: Europe carol 370421 39
     [java] Duration:	2 ms		Content: Europe alice 20861 46
     [java] Duration:	3 ms		Content: Europe eve 631853 46
     [java] Duration:	3 ms		Content: Europe eve 341311 40
     [java] Duration:	2 ms		Content: Europe eve 243348 45
     [java] Duration:	3 ms		Content: Europe carol 938923 51
     [java] Duration:	2 ms		Content: Europe alice 357398 57
     [java] Duration:	2 ms		Content: Europe alice 430056 57
     [java] Duration:	2 ms		Content: Europe alice 710585 30
     [java] Duration:	10 ms		Content: Europe eve 623626 48
     [java] Duration:	2 ms		Content: Europe eve 901839 52
     [java] Duration:	3 ms		Content: Europe carol 818082 45
     [java] Duration:	3 ms		Content: Europe gary 1008704 30
     [java] Duration:	2 ms		Content: Europe gary 123006 52
     [java] Duration:	2 ms		Content: Europe gary 89643 59
     [java] Duration:	2 ms		Content: Europe alice 466923 31
     [java] Duration:	4 ms		Content: Europe eve 605792 33
     [java] Duration:	2 ms		Content: Europe gary 897577 47
     [java] Duration:	2 ms		Content: Europe alice 631516 53
     [java] Duration:	3 ms		Content: Europe carol 533788 39
     [java] Duration:	2 ms		Content: Europe gary 958274 44
     [java] Duration:	2 ms		Content: Europe gary 443374 40
     [java] Duration:	4 ms		Content: Europe carol 986277 49
     [java] Duration:	2 ms		Content: Europe eve 245106 57
     [java] Duration:	2 ms		Content: Europe alice 973424 49
     [java] Duration:	3 ms		Content: Europe carol 157102 40
     [java] Duration:	2 ms		Content: Europe carol 892142 39
     [java] Duration:	2 ms		Content: Europe gary 798197 32
     [java] Duration:	2 ms		Content: Europe eve 690194 55
     [java] Duration:	2 ms		Content: Europe gary 147545 40
     [java] Duration:	2 ms		Content: Europe carol 432320 51
     [java] Duration:	2 ms		Content: Europe gary 291008 56
     [java] Duration:	2 ms		Content: Europe eve 605469 39
     [java] Duration:	2 ms		Content: Europe carol 970401 54
     [java] Duration:	2 ms		Content: Europe eve 510291 43
     [java] Duration:	2 ms		Content: Europe gary 326698 55
     [java] Duration:	26 ms		Content: Europe carol 192756 45
     [java] Duration:	3 ms		Content: Europe alice 544631 43
     [java] Duration:	3 ms		Content: Europe eve 147839 31
     [java] Duration:	2 ms		Content: Europe gary 118838 32
     [java] Duration:	2 ms		Content: Europe eve 323248 50
     [java] Duration:	3 ms		Content: Europe carol 364247 46
     [java] Duration:	2 ms		Content: Europe carol 528896 45
     [java] Duration:	26 ms		Content: Europe eve 350524 47
     [java] Duration:	2 ms		Content: Europe carol 588292 53
     [java] Duration:	2 ms		Content: Europe alice 393786 47
     [java] Duration:	2 ms		Content: Europe alice 553763 32
     [java] Duration:	2 ms		Content: Europe carol 323587 43
     [java] Duration:	2 ms		Content: Europe alice 993295 47
     [java] Duration:	2 ms		Content: Europe alice 476366 55
     [java] Duration:	2 ms		Content: Europe eve 171934 46
     [java] Duration:	25 ms		Content: Europe gary 260282 39
     [java] Duration:	2 ms		Content: Europe carol 956301 39
     [java] Duration:	147 ms		Content: Europe alice 364530 31
     [java] Duration:	3 ms		Content: Europe alice 101991 57
     [java] Duration:	2 ms		Content: Europe gary 380658 54
     [java] Duration:	2 ms		Content: Europe gary 144834 42
     [java] Duration:	2 ms		Content: Europe gary 1028811 44
     [java] Duration:	2 ms		Content: Europe carol 871445 44
     [java] Duration:	3 ms		Content: Europe alice 950611 55
     [java] Duration:	2 ms		Content: Europe alice 88602 33
     [java] Duration:	2 ms		Content: Europe carol 875409 43
     [java] Duration:	2 ms		Content: Europe carol 265197 50
     [java] Duration:	2 ms		Content: Europe alice 151609 56
     [java] Duration:	2 ms		Content: Europe eve 81377 39
     [java] Duration:	2 ms		Content: Europe gary 135942 52
     [java] Duration:	2 ms		Content: Europe gary 919786 49
     [java] Duration:	3 ms		Content: Europe carol 336461 33
     [java] Duration:	14 ms		Content: Europe eve 390036 58
     [java] Duration:	2 ms		Content: Europe eve 1026552 56
     [java] Duration:	3 ms		Content: Europe alice 498730 44
     [java] Duration:	2 ms		Content: Europe gary 566815 47
     [java] Duration:	3 ms		Content: Europe carol 919098 50
     [java] Duration:	2 ms		Content: Europe eve 220621 51
     [java] Duration:	2 ms		Content: Europe carol 453591 50
     [java] Duration:	2 ms		Content: Europe carol 676696 53
     [java] Duration:	2 ms		Content: Europe alice 694476 48
     [java] Duration:	6 ms		Content: Europe eve 309292 43
     [java] Duration:	3 ms		Content: Europe alice 747586 47
     [java] Duration:	2 ms		Content: Europe carol 288097 34
     [java] Duration:	4 ms		Content: Europe gary 179229 32
     [java] Duration:	2 ms		Content: Europe gary 195195 57
     [java] Duration:	2 ms		Content: Europe eve 55298 56
     [java] Duration:	3 ms		Content: Europe carol 422018 58
     [java] Duration:	2 ms		Content: Europe alice 557789 55
     [java] Duration:	2 ms		Content: Europe eve 808010 41
     [java] Duration:	2 ms		Content: Europe eve 826411 30
     [java] Duration:	81 ms		Content: Europe gary 347449 55
     [java] Duration:	11 ms		Content: Europe eve 172841 57
     [java] Duration:	2 ms		Content: Europe eve 755752 58
     [java] Duration:	25 ms		Content: Europe gary 491044 38
     [java] Duration:	2 ms		Content: Europe gary 948287 51
     [java] Duration:	3 ms		Content: Europe carol 30657 34
     [java] Duration:	2 ms		Content: Europe eve 462879 33
     [java] Duration:	3 ms		Content: Europe alice 59001 49
     [java] Duration:	2 ms		Content: Europe alice 140249 42
     [java] Duration:	3 ms		Content: Europe carol 455800 47
     [java] Duration:	35 ms		Content: Europe alice 401127 36
     [java] Duration:	3 ms		Content: Europe gary 569869 34
     [java] Duration:	3 ms		Content: Europe alice 542039 58
     [java] Duration:	3 ms		Content: Europe gary 222570 46
     [java] Duration:	3 ms		Content: Europe carol 628815 35
     [java] Duration:	2 ms		Content: Europe gary 302642 32
     [java] Duration:	3 ms		Content: Europe carol 580425 55
     [java] Duration:	3 ms		Content: Europe carol 596879 37
     [java] Duration:	3 ms		Content: Europe gary 171650 35
     [java] Duration:	3 ms		Content: Europe eve 382951 43
     [java] Duration:	3 ms		Content: Europe gary 864938 37
     [java] Duration:	3 ms		Content: Europe eve 966363 44
     [java] Duration:	3 ms		Content: Europe carol 962263 57
     [java] Duration:	3 ms		Content: Europe alice 901899 58
     [java] Duration:	2 ms		Content: Europe gary 1017474 36
     [java] Duration:	3 ms		Content: Europe alice 57963 54
     [java] Duration:	18 ms		Content: Europe gary 480127 47
     [java] Duration:	3 ms		Content: Europe carol 28548 34
     [java] Duration:	7 ms		Content: Europe alice 928409 38
     [java] Duration:	2 ms		Content: Europe gary 814730 48
     [java] Duration:	2 ms		Content: Europe eve 900055 41
     [java] Duration:	3 ms		Content: Europe eve 790642 37
     [java] Duration:	6 ms		Content: Europe carol 1014437 37
     [java] Duration:	3 ms		Content: Europe carol 786962 57
     [java] Duration:	3 ms		Content: Europe carol 94057 43
     [java] Duration:	3 ms		Content: Europe carol 165943 46
     [java] Duration:	3 ms		Content: Europe alice 636928 33
     [java] Duration:	2 ms		Content: Europe carol 1037684 44
     [java] Duration:	3 ms		Content: Europe alice 842628 39
     [java] Duration:	3 ms		Content: Europe gary 712634 55
     [java] Duration:	3 ms		Content: Europe carol 871468 54
     [java] Duration:	3 ms		Content: Europe alice 848131 48
     [java] Duration:	3 ms		Content: Europe gary 951583 44
     [java] Duration:	2 ms		Content: Europe carol 600946 31
     [java] Duration:	3 ms		Content: Europe gary 901789 34
     [java] Duration:	2 ms		Content: Europe gary 291395 35
     [java] Duration:	2 ms		Content: Europe alice 377880 33
     [java] Duration:	3 ms		Content: Europe alice 760280 37
     [java] Duration:	3 ms		Content: Europe alice 863230 49
     [java] Duration:	3 ms		Content: Europe alice 44266 50
     [java] Duration:	3 ms		Content: Europe carol 880163 45
     [java] Duration:	8 ms		Content: Europe eve 626863 33
     [java] Duration:	11 ms		Content: Europe carol 210115 34
     [java] Duration:	3 ms		Content: Europe carol 1011683 59
     [java] Duration:	2 ms		Content: Europe alice 316080 40
     [java] Duration:	2 ms		Content: Europe carol 457983 31
     [java] Duration:	2 ms		Content: Europe gary 228409 51
     [java] Duration:	4 ms		Content: Europe alice 434420 49
     [java] Duration:	9 ms		Content: Europe carol 176569 47
     [java] Duration:	13 ms		Content: Europe alice 667881 44
     [java] Duration:	3 ms		Content: Europe carol 121914 46
     [java] Duration:	7 ms		Content: Europe gary 229102 43
     [java] Duration:	2 ms		Content: Europe gary 590313 49
     [java] Duration:	3 ms		Content: Europe carol 32402 57
     [java] Duration:	2 ms		Content: Europe gary 346274 58
     [java] Duration:	3 ms		Content: Europe carol 699933 41
     [java] Duration:	2 ms		Content: Europe gary 113339 53
     [java] Duration:	2 ms		Content: Europe alice 431116 38
     [java] Duration:	2 ms		Content: Europe carol 420906 57
     [java] Duration:	2 ms		Content: Europe carol 393536 53
     [java] Duration:	2 ms		Content: Europe carol 688419 53
     [java] Duration:	2 ms		Content: Europe carol 628147 31
     [java] Duration:	2 ms		Content: Europe carol 238215 56
     [java] Duration:	3 ms		Content: Europe alice 1031917 42
     [java] Duration:	3 ms		Content: Europe eve 580870 56
     [java] Duration:	3 ms		Content: Europe alice 1046212 43
     [java] Duration:	3 ms		Content: Europe eve 760314 34
     [java] Duration:	3 ms		Content: Europe gary 373538 59
     [java] Duration:	3 ms		Content: Europe carol 792393 41
     [java] Duration:	3 ms		Content: Europe alice 704224 53
     [java] Duration:	3 ms		Content: Europe carol 504840 53
     [java] Duration:	5 ms		Content: Europe eve 78825 35
     [java] Duration:	3 ms		Content: Europe alice 155476 42
     [java] Duration:	3 ms		Content: Europe alice 371459 44
     [java] Duration:	2 ms		Content: Europe alice 647922 52
     [java] Duration:	6 ms		Content: Europe carol 368997 56
     [java] Duration:	2 ms		Content: Europe alice 618496 55
     [java] Duration:	2 ms		Content: Europe eve 363770 48
     [java] Duration:	2 ms		Content: Europe gary 242325 42
     [java] Duration:	3 ms		Content: Europe carol 186923 46
     [java] Duration:	2 ms		Content: Europe gary 553589 49
     [java] Duration:	5 ms		Content: Europe eve 416157 58
     [java] Duration:	3 ms		Content: Europe gary 1023126 36
     [java] Duration:	3 ms		Content: Europe alice 221134 31
     [java] Duration:	3 ms		Content: Europe carol 124439 53
     [java] Duration:	3 ms		Content: Europe alice 401431 38
     [java] Duration:	3 ms		Content: Europe gary 961680 54
     [java] Duration:	20 ms		Content: Europe gary 131452 33
     [java] Duration:	2 ms		Content: Europe gary 864947 59
     [java] Duration:	2 ms		Content: Europe gary 986977 52
     [java] Duration:	2 ms		Content: Europe gary 820605 41
     [java] Duration:	2 ms		Content: Europe gary 333617 51
     [java] Duration:	2 ms		Content: Europe eve 807459 50
     [java] Duration:	2 ms		Content: Europe alice 188017 54
     [java] Duration:	2 ms		Content: Europe alice 426473 32
     [java] Duration:	3 ms		Content: Europe alice 961356 34
     [java] Duration:	2 ms		Content: Europe eve 164950 48
     [java] Duration:	2 ms		Content: Europe gary 934921 48
     [java] Duration:	2 ms		Content: Europe alice 73899 35
     [java] Duration:	2 ms		Content: Europe alice 206497 33
     [java] Duration:	2 ms		Content: Europe eve 841749 59
     [java] Duration:	2 ms		Content: Europe alice 479218 59
     [java] Duration:	3 ms		Content: Europe carol 797586 36
     [java] Duration:	3 ms		Content: Europe gary 110569 36
     [java] Duration:	3 ms		Content: Europe gary 1036305 52
     [java] Duration:	3 ms		Content: Europe alice 1035619 31
     [java] Duration:	4 ms		Content: Europe eve 178466 33
     [java] Duration:	2 ms		Content: Europe eve 636685 35
     [java] Duration:	2 ms		Content: Europe carol 107202 45
     [java] Duration:	2 ms		Content: Europe alice 688278 49
     [java] Duration:	3 ms		Content: Europe eve 707003 42
     [java] Duration:	4 ms		Content: Europe carol 793440 57
     [java] Duration:	3 ms		Content: Europe carol 874575 39
     [java] Duration:	2 ms		Content: Europe eve 193812 42
     [java] Duration:	3 ms		Content: Europe carol 65458 42
     [java] Duration:	10 ms		Content: Europe eve 574640 47
     [java] Duration:	2 ms		Content: Europe eve 454693 36
     [java] Duration:	3 ms		Content: Europe carol 676382 40
     [java] Duration:	3 ms		Content: Europe alice 640159 40
     [java] Duration:	2 ms		Content: Europe eve 845652 51
     [java] Duration:	2 ms		Content: Europe gary 922667 39
     [java] Duration:	2 ms		Content: Europe gary 371540 33
     [java] Duration:	4 ms		Content: Europe alice 116936 51
     [java] Duration:	2 ms		Content: Europe eve 312751 49
     [java] Duration:	3 ms		Content: Europe carol 902477 38
     [java] Duration:	12 ms		Content: Europe gary 239985 30
     [java] Duration:	2 ms		Content: Europe carol 892889 53
     [java] Duration:	3 ms		Content: Europe carol 301887 35
     [java] Duration:	3 ms		Content: Europe gary 635142 30
     [java] Duration:	3 ms		Content: Europe gary 464125 57
     [java] Duration:	3 ms		Content: Europe carol 689206 41
     [java] Duration:	3 ms		Content: Europe eve 473425 39
     [java] Duration:	2 ms		Content: Europe alice 726218 53
     [java] Duration:	2 ms		Content: Europe gary 223229 39
     [java] Duration:	2 ms		Content: Europe eve 128010 55
     [java] Duration:	2 ms		Content: Europe alice 147564 45
     [java] Duration:	2 ms		Content: Europe gary 561037 50
     [java] Duration:	2 ms		Content: Europe eve 554851 35
     [java] Duration:	2 ms		Content: Europe alice 892092 42
     [java] Duration:	2 ms		Content: Europe alice 855834 30
     [java] Duration:	3 ms		Content: Europe alice 988808 32
     [java] Duration:	3 ms		Content: Europe alice 370054 39
     [java] Duration:	2 ms		Content: Europe alice 87756 41
     [java] Duration:	3 ms		Content: Europe alice 162587 52
